idx,replacements_visual,replacements_phonetic,replacements_typo
730,"[('possible', 'possibłe')]","[('possible', 'posible')]","[('possible', 'poosible')]"
731,"[('outperforms', 'oùͭpeɽfơrms')]","[('outperforms', ""outspormer'se"")]","[('outperforms', 'out[srforms')]"
732,"[('leverage', 'leveragᶒ')]","[('leverage', 'leveridge')]","[('leverage', 'lgrveaee')]"
733,"[('token', 'tсken')]","[('token', 'Potan')]","[('token', 'tekon')]"
734,"[('calphad', 'calอhad')]","[('calphad', 'calphad')]","[('calphad', 'cal[phad')]"
735,"[('sets', 'setз')]","[('sets', 'setts')]","[('sets', 'ets')]"
736,"[('compton', 'Ϲompₜon')]","[('compton', 'ckomptonn')]","[('compton', '$compto`n')]"
737,"[('based', '℔ӕsèd')]","[('based', ""baist'"")]","[('based', 'bsead')]"
738,"[('reduction', 'ɽeducƫion')]","[('reduction', 'rreductionn')]","[('reduction', '}reduc/tion')]"
739,"[('obtained', 'oƀtained')]","[('obtained', ""abtained's"")]","[('obtained', 'oteniabd')]"
740,"[('special', 'speciәl')]","[('special', ""special'"")]","[('special', 'spcial')]"
741,"[('achieve', 'achḻеve')]","[('achieve', 'ashieve')]","[('achieve', 'ahieve')]"
742,"[('either', 'eiƚheɼ')]","[('either', 'eithere')]","[('either', 'eit\\her')]"
743,"[('burge', 'buոℇe')]","[('burge', 'birge')]","[('burge', '~bu>r!ge')]"
744,"[('comprising', 'compris˨ng')]","[('comprising', 'compprizing')]","[('comprising', 'ciismrnopg')]"
745,"[('opinion', 'ℶpinᥧoռ')]","[('opinion', 'opynion')]","[('opinion', 'oinipon')]"
746,"[('flow', 'fιow')]","[('flow', 'flo')]","[('flow', ""&f'lo?w"")]"
747,"[('difficult', 'diғficult')]","[('difficult', 'difficullete')]","[('difficult', 'difficlt')]"
748,"[('towards', 'towǝrds')]","[('towards', 'towerdst')]","[('towards', 'towads')]"
749,"[('magnification', 'maģniḟiçatīoŉ')]","[('magnification', 'magnificatione')]","[('magnification', 'magnivicatioh')]"
750,"[('line', 'עine')]","[('line', 'lline')]","[('line', '!l{i`n]e')]"
751,"[('decision', 'deɑision')]","[('decision', 'deseigeon')]","[('decision', '=d[e(cisi+on')]"
752,"[('splendor', 'sɒlЄndor')]","[('splendor', 'splander')]","[('splendor', ""sp/lend'o?r"")]"
753,"[('temporally', 'tempɷᶮallҹ')]","[('temporally', 'ttemeporally')]","[('temporally', 'teparlolmy')]"
754,"[('study', 'ᶊtudy')]","[('study', 'steudy')]","[('study', 'sudy')]"
755,"[('unique', 'uniрue')]","[('unique', 'unieque')]","[('unique', ""@u'ni@que"")]"
756,"[('intentions', 'ìnteⁿtionš')]","[('intentions', 'intentiones')]","[('intentions', 'intentionx')]"
757,"[('rows', 'roɰs')]","[('rows', 'ros')]","[('rows', '.rows')]"
758,"[('wasserstein', 'wаѕserstᥱin')]","[('wasserstein', 'wosserstin')]","[('wasserstein', 'wa*s]se)r""stei?n')]"
759,"[('discouraging', 'ⅾiscouraging')]","[('discouraging', 'deyscouragin')]","[('discouraging', 'dgriioscuang')]"
760,"[('allowed', 'ᗺllowed')]","[('allowed', 'aglowed')]","[('allowed', 'allo-wed')]"
761,"[('continue', 'cℶntinue')]","[('continue', 'contenu')]","[('continue', 'contnue')]"
762,"[('shalit', 'shaעit')]","[('shalit', 'shalit')]","[('shalit', 'sh!al.it')]"
763,"[('backtrack', 'bƌcktrack')]","[('backtrack', 'bagkktrack')]","[('backtrack', 'bcrkaatck')]"
764,"[('unveil', 'únvɝȉl')]","[('unveil', 'unveilh')]","[('unveil', 'unve8l')]"
765,"[('transfomer', '∤raᥒs⤉omer')]","[('transfomer', 'transfomer')]","[('transfomer', 'ransfomer')]"
766,"[('important', 'imợortჴnt')]","[('important', 'importint')]","[('important', 'intramopt')]"
767,"[('certain', 'ceႰtȧin')]","[('certain', 'ceredain')]","[('certain', 'cer+tain')]"
768,"[('based', 'basġd')]","[('based', ""bais'd"")]","[('based', '@based')]"
769,"[('formed', 'fգrmeⅾ')]","[('formed', ""formed'"")]","[('formed', 'ormed')]"
770,"[('recent', 'ᶰecent')]","[('recent', 'reecent')]","[('recent', 'rneect')]"
771,"[('planned', 'plannЄd')]","[('planned', 'plannd')]","[('planned', 'plnnaed')]"
772,"[('process', 'proceSs')]","[('process', 'proceass')]","[('process', 'psrcoes')]"
773,"[('ipms', 'ᶖpmṠ')]","[('ipms', 'ipms')]","[('ipms', 'imps')]"
774,"[('dimensional', '⍧imensional')]","[('dimensional', 'dimehnsienall')]","[('dimensional', 'daonseinmil')]"
775,"[('cluster', 'cluₛtĕr')]","[('cluster', 'clustert')]","[('cluster', 'cljster')]"
776,"[('second', 'secoոd')]","[('second', 'seacond')]","[('second', 'soecnd')]"
777,"[('effects', 'efᶂects')]","[('effects', 'effekts')]","[('effects', 'effcts')]"
778,"[('perfect', 'perfeօt')]","[('perfect', 'pperfekt')]","[('perfect', 'perfet')]"
779,"[('letellier', 'lēⱡḛ[lier')]","[('letellier', 'leteliir')]","[('letellier', 'lielleter')]"
780,"[('ineffective', 'ineffeƈtѝᵛe')]","[('ineffective', ""ineffective'"")]","[('ineffective', 'inerfechice')]"
781,"[('required', 'reоuired')]","[('required', 'rreaquired')]","[('required', 'equired')]"
782,"[('model', 'ᴍodēl')]","[('model', ""moddle'sw"")]","[('model', 'modle')]"
783,"[('focus', 'fo▢uᶊ')]","[('focus', 'foces')]","[('focus', 'f+oc~u.s')]"
784,"[('lamost', 'lamoѕt')]","[('lamost', 'lamost')]","[('lamost', 'loasmt')]"
785,"[('created', 'creаţed')]","[('created', 'createde')]","[('created', 'creatd')]"
786,"[('factor', 'factӫr')]","[('factor', 'facôters')]","[('factor', 'fsctlr')]"
787,"[('cosmological', 'cоsmological')]","[('cosmological', 'cosmological')]","[('cosmological', 'cmolicoasgol')]"
788,"[('serial', 'seriʙ˨')]","[('serial', 'seriil')]","[('serial', 'ser(i:al')]"
789,"[('examples', 'examplʙs')]","[('examples', 'examplz')]","[('examples', '+examples')]"
790,"[('singularity', 'singɯlarity')]","[('singularity', 'singularity')]","[('singularity', ';sing/ularity')]"
791,"[('financial', 'ᒦḹnaⱨcla།')]","[('financial', 'ffinanciall')]","[('financial', 'financal')]"
792,"[('manipulations', 'ᲅanipՎlations')]","[('manipulations', 'meneipulachogns')]","[('manipulations', 'mniaaptinulos')]"
793,"[('representations', 'reₚɹeseƞtatioᶇs')]","[('representations', 'representationse')]","[('representations', 'represfnta6ions')]"
794,"[('explain', 'exφ˨aiṇ')]","[('explain', 'exspplain')]","[('explain', 'expain')]"
795,"[('transport', 'ʈransport')]","[('transport', 'transppoart')]","[('transport', 'trnsport')]"
796,"[('core', 'cᐢræ')]","[('core', 'cor')]","[('core', 'c~o(re')]"
797,"[('properties', 'prοpᰀrtieş')]","[('properties', 'prapertiex')]","[('properties', 'p#r)op+ert`ies')]"
798,"[('regression', 'regresⳍion')]","[('regression', 'regrestionn')]","[('regression', ""r@e%g'ress!ion"")]"
799,"[('linearly', 'linearlฉ')]","[('linearly', 'leneearly')]","[('linearly', 'lnariley')]"
800,"[('spatial', 'ЅŊatial')]","[('spatial', 'spatiall')]","[('spatial', 'saapitl')]"
801,"[('leaks', '˨eaks')]","[('leaks', 'leks')]","[('leaks', ')lea^k/s')]"
802,"[('scenarios', 'scenariОs')]","[('scenarios', 'senerios')]","[('scenarios', '|scena(rio]s')]"
803,"[('complexity', 'coդplexity')]","[('complexity', 'complicatily')]","[('complexity', 'complex%ity')]"
804,"[('large', 'larʙe')]","[('large', 'lorge')]","[('large', 'lgare')]"
805,"[('give', 'giYe')]","[('give', 'Jave')]","[('give', 'gve')]"
806,"[('structural', 'stɽuctural')]","[('structural', 'sedrukttiural')]","[('structural', 'sutrtarcul')]"
807,"[('using', 'usi໗g')]","[('using', 'using')]","[('using', 'usng')]"
808,"[('latency', 'lateƞcզ')]","[('latency', 'laedencey')]","[('latency', '&late[nc<y')]"
809,"[('related', 're⍊ated')]","[('related', 'relaytad')]","[('related', 'retaeld')]"
810,"[('local', 'ıocal')]","[('local', 'llocal')]","[('local', '>lo!ca%l')]"
811,"[('towards', 'ₜoᴡards')]","[('towards', 'towerdes')]","[('towards', 'torwards')]"
812,"[('alternative', 'alₜeȓƞatïve')]","[('alternative', 'alternativen')]","[('alternative', 'aternative')]"
813,"[('groups', 'ნroups')]","[('groups', 'groops')]","[('groups', 'gpuros')]"
814,"[('future', 'futúre')]","[('future', ""future'"")]","[('future', 'fututure')]"
815,"[('detection', 'deȽection')]","[('detection', 'detaictiin')]","[('detection', 'detectio')]"
816,"[('mass', 'ₘᶏss')]","[('mass', 'massy')]","[('mass', 'mwss')]"
817,"[('operating', 'ᲂperating')]","[('operating', 'operayting')]","[('operating', 'opeating')]"
818,"[('approximating', 'appɍoximating')]","[('approximating', 'aipproxsimateing')]","[('approximating', 'ap[p[r!oxi?ma)ting')]"
819,"[('groups', 'gr▢ups')]","[('groups', 'groupce')]","[('groups', 'roups')]"
820,"[('operational', 'operatiоnₐl')]","[('operational', ""operational'"")]","[('operational', 'opérational')]"
821,"[('well', 'wel⟘')]","[('well', 'wall')]","[('well', 'wlel')]"
822,"[('validated', 'Ұaliḋated')]","[('validated', 'vaglidateed')]","[('validated', 'vlidated')]"
823,"[('leverages', 'leverƟges')]","[('leverages', 'leverages')]","[('leverages', "">leve(ra'ges"")]"
824,"[('zero', 'zerօ')]","[('zero', 'zerau')]","[('zero', '|ze/ro')]"
825,"[('larger', 'laɾgeȓ')]","[('larger', 'largere')]","[('larger', 'la4ger')]"
826,"[('property', 'proрeⁿty')]","[('property', 'propperye')]","[('property', 'propert')]"
827,"[('times', 'tᒩmes')]","[('times', ""time's'"")]","[('times', 'tmeis')]"
828,"[('partial', 'pårₜial')]","[('partial', 'parcialu')]","[('partial', 'partoal')]"
829,"[('axisymmetric', 'axiჽymmetric')]","[('axisymmetric', 'axisymmetric')]","[('axisymmetric', 'arstmmexiiyc')]"
830,"[('achieves', 'acĥiɜves')]","[('achieves', 'achtives')]","[('achieves', 'wvhieves')]"
831,"[('used', 'uᷤed')]","[('used', 'usedd')]","[('used', 'usee')]"
832,"[('policy', 'poli□y')]","[('policy', 'polecy')]","[('policy', 'po{l#i)cy')]"
833,"[('gpt4', 'ℰpt4')]","[('gpt4', 'gpt4')]","[('gpt4', 'gtp4')]"
834,"[('teams', 'tèamš')]","[('teams', ""team's'"")]","[('teams', 'teans')]"
835,"[('clearance', 'Ըlearance')]","[('clearance', 'clearanes')]","[('clearance', 'cleara)nce')]"
836,"[('emanating', 'emanåting')]","[('emanating', ""imaniting'"")]","[('emanating', 'emansting')]"
837,"[('broad', 'br⊡ad')]","[('broad', 'brod')]","[('broad', 'boad')]"
838,"[('seen', 'sêen')]","[('seen', 'shen')]","[('seen', 'een')]"
839,"[('small', 'smalĮ')]","[('small', 'smal')]","[('small', ""{sma'l+l"")]"
840,"[('assume', 'ässuₘè')]","[('assume', ""assume'"")]","[('assume', 'assuke')]"
841,"[('multiphase', 'mulłiphase')]","[('multiphase', 'multiphase')]","[('multiphase', 'multipha(se')]"
842,"[('interactions', 'interacticnṢ')]","[('interactions', ""interaction'sm"")]","[('interactions', 'iteractions')]"
843,"[('technique', 'techńҋque')]","[('technique', 'techniquet')]","[('technique', 'techinique')]"
844,"[('density', 'ὰensitⴣ')]","[('density', 'deelnsity')]","[('density', 'dtesniy')]"
845,"[('differential', 'ḓifferὲnt༐ᾼս')]","[('differential', 'differentialf')]","[('differential', 'diaeirfetnfl')]"
846,"[('based', 'baseǆ')]","[('based', 'baseed')]","[('based', 'ba-sed')]"
847,"[('versions', 'ᣔersions')]","[('versions', 'versiohnz')]","[('versions', 'verions')]"
848,"[('detecting', 'dϱtḛᾱtinϱ')]","[('detecting', 'ddeedecting')]","[('detecting', 'de:tect%ing')]"
849,"[('scarcity', 's⫐arcity')]","[('scarcity', 'stcercity')]","[('scarcity', 'sarcity')]"
850,"[('paradigm', 'paץadigm')]","[('paradigm', 'peradeigm')]","[('paradigm', ',paradi_g}m')]"
851,"[('resolution', 'ɍɇsơlutǐon')]","[('resolution', 'reselution')]","[('resolution', 'fesolution')]"
852,"[('wide', 'ⳙide')]","[('wide', 'wid')]","[('wide', 'wdie')]"
853,"[('speech', 'speèch')]","[('speech', 'speeti')]","[('speech', 'speec')]"
854,"[('retrieval', 'ᒋetrieval')]","[('retrieval', 'retriaval')]","[('retrieval', 'retrievl')]"
855,"[('achieve', 'acⱮieve')]","[('achieve', 'Ashives')]","[('achieve', 'achiee')]"
856,"[('known', 'knoɰn')]","[('known', 'knon')]","[('known', 'nown')]"
857,"[('hydrogen', 'ħydɾogeǹ')]","[('hydrogen', 'hydragen')]","[('hydrogen', 'hyvrogen')]"
858,"[('large', 'largɵ')]","[('large', 'larrge')]","[('large', 'lgare')]"
859,"[('cost', 'cos☨')]","[('cost', 'ccost')]","[('cost', 'csot')]"
860,"[('expressed', 'expɚessвᶁ')]","[('expressed', 'exprasste')]","[('expressed', 'expressd')]"
861,"[('entering', 'eⁿteriⁿg')]","[('entering', 'enterting')]","[('entering', 'enterinf')]"
862,"[('specific', 'şφeсific')]","[('specific', 'sphecepfic')]","[('specific', 's=pecific')]"
863,"[('stationary', 'sŧatioñarឹ')]","[('stationary', ""stationary'"")]","[('stationary', 'statlonary')]"
864,"[('interaction', 'inteʳąctіon')]","[('interaction', 'ienteruaketion')]","[('interaction', 'intera?cti/on')]"
865,"[('training', 'tᵲainǐⁿġ')]","[('training', ""training'"")]","[('training', 'traning')]"
866,"[('pairwise', 'pairᐦise')]","[('pairwise', ""pairwa's"")]","[('pairwise', 'pairwse')]"
867,"[('background', 'Եackground')]","[('background', 'bagcground')]","[('background', 'b<a]ck;g,ro&u.nd')]"
868,"[('optimization', 'optiמiƩatioṀ')]","[('optimization', 'opttimizatiunn')]","[('optimization', 'omipitioatzn')]"
869,"[('proposed', 'proposᏼd')]","[('proposed', 'preoposd')]","[('proposed', 'p[ropose^d')]"
870,"[('provide', 'providᥱ')]","[('provide', 'proveyede')]","[('provide', 'poivrde')]"
871,"[('greater', 'єreʚteᴹ')]","[('greater', 'greaterh')]","[('greater', 'gaeertr')]"
872,"[('frequency', 'freqսency')]","[('frequency', 'friequenci')]","[('frequency', 'frequ~ency')]"
873,"[('learnable', 'learnaϦle')]","[('learnable', 'learnable')]","[('learnable', 'llbrnaeae')]"
874,"[('created', 'crèated')]","[('created', ""created'"")]","[('created', 'createad')]"
875,"[('code', 'cсde')]","[('code', 'coade')]","[('code', 'cdoe')]"
876,"[('possess', 'p໐ƽsess')]","[('possess', 'posses')]","[('possess', ':poss{ess')]"
877,"[('control', 'contɚol')]","[('control', 'conntrrol')]","[('control', 'co!ntrol')]"
878,"[('perception', 'perceptiᗡդ')]","[('perception', 'perceaptiun')]","[('perception', 'perceptin')]"
879,"[('demonstrate', 'ⱊemoпstrate')]","[('demonstrate', 'demonstratedl')]","[('demonstrate', ')demon#s-trat.e')]"
880,"[('smooth', 'sₘòóțh')]","[('smooth', ""smooth'"")]","[('smooth', 'mooth')]"
881,"[('hindered', 'Ꮒindered')]","[('hindered', 'hinderedf')]","[('hindered', '-hindered')]"
882,"[('lead', 'leаd')]","[('lead', ""leed'"")]","[('lead', 'laed')]"
883,"[('mass', 'maₛs')]","[('mass', 'masso')]","[('mass', 'mwss')]"
884,"[('publicly', 'ḅuէlicly')]","[('publicly', 'pablikly')]","[('publicly', '(publi&cly')]"
885,"[('unmet', 'uդmet')]","[('unmet', 'unnmet')]","[('unmet', 'unet')]"
886,"[('direction', 'ḋīɾection')]","[('direction', ""direction'"")]","[('direction', 'directcion')]"
887,"[('process', 'pᛚocess')]","[('process', 'preocess')]","[('process', '|proc?e@ss')]"
888,"[('enzymes', 'ɜnᵶymeš')]","[('enzymes', ""ensime's"")]","[('enzymes', 'enaymes')]"
889,"[('typical', 'typicaŀ')]","[('typical', ""typical'"")]","[('typical', 'tipic')]"
890,"[('effectively', 'ë㎌fectᴵᴠêly')]","[('effectively', 'effectivelyp')]","[('effectively', 'effectly')]"
891,"[('instruction', 'inᴣtruction')]","[('instruction', 'enstruction')]","[('instruction', 'i.ns&t/ru.ction')]"
892,"[('subdivision', 'Šubdivisḹon')]","[('subdivision', 'subdivisain')]","[('subdivision', 'su*b@d)iv#ision')]"
893,"[('often', 'o㎌tĕn')]","[('often', ""offent'"")]","[('often', 'oftten')]"
894,"[('commutation', 'ċoᴍmutáţion')]","[('commutation', ""commutation'"")]","[('commutation', 'comutation')]"
895,"[('benchmark', 'behcẖmark')]","[('benchmark', 'bentchmeark')]","[('benchmark', 'benchma\\rk')]"
896,"[('segmentation', 'sႲgmentation')]","[('segmentation', 'seegmanttation')]","[('segmentation', 'saotgtieemnn')]"
897,"[('inequality', 'ineᏝualitƕ')]","[('inequality', 'ineqhwoliedy')]","[('inequality', 'ineqality')]"
898,"[('effective', 'efᶂectivՅ')]","[('effective', 'efecttive')]","[('effective', 'eicffvete')]"
899,"[('advfooler', 'adᵥfȯoĺĕr')]","[('advfooler', 'adfollard')]","[('advfooler', 'advfoolef')]"
900,"[('however', 'hoաevēr')]","[('however', 'howevar')]","[('however', '~ho*weve^r')]"
901,"[('among', 'amonᏸ')]","[('among', 'ameong')]","[('among', 'anmog')]"
902,"[('holds', 'hoᥧds')]","[('holds', ""hold'sl"")]","[('holds', 'hlds')]"
903,"[('account', 'aсcount')]","[('account', 'accounnt')]","[('account', 'acc>o~unt')]"
904,"[('degree', 'đegree')]","[('degree', 'digry')]","[('degree', 'Degreee')]"
905,"[('classical', 'classἱcal')]","[('classical', 'clissicul')]","[('classical', 'csaslaicl')]"
906,"[('improve', 'iₘpro㏞e')]","[('improve', 'improveue')]","[('improve', 'enprove')]"
907,"[('coupling', 'coսpling')]","[('coupling', ""couplingly'"")]","[('coupling', 'cilupong')]"
908,"[('passing', 'pȏssing')]","[('passing', 'passeng')]","[('passing', 'pas=sin`g')]"
909,"[('discussed', 'discussɛd')]","[('discussed', 'discusfed')]","[('discussed', 'decsssiud')]"
910,"[('results', 'rⲉsults')]","[('results', 'resoltse')]","[('results', '{res[ults')]"
911,"[('tensor', 'tᥱnsor')]","[('tensor', 'tensor')]","[('tensor', 'ten!sor')]"
912,"[('dedicated', 'deɗicated')]","[('dedicated', 'deedikated')]","[('dedicated', '`d`edicate:d')]"
913,"[('ansatz', 'ࠤnsatz')]","[('ansatz', 'ansats')]","[('ansatz', 'ahsatz')]"
914,"[('designed', 'ḋesiℇnεճ')]","[('designed', 'deesigned')]","[('designed', 'denisged')]"
915,"[('whether', 'wηether')]","[('whether', 'whwether')]","[('whether', 'wetehhr')]"
916,"[('forces', 'for⊏ϱs')]","[('forces', 'forcese')]","[('forces', 'fo%rc!e&s')]"
917,"[('planner', 'φlმnᶯer')]","[('planner', 'pllanner')]","[('planner', 'plnaenr')]"
918,"[('work', 'wமrk')]","[('work', 'wortk')]","[('work', 'wor')]"
919,"[('since', 'siɳce')]","[('since', ""since'"")]","[('since', 'sience')]"
920,"[('dark', 'ɸὲrk')]","[('dark', 'darrk')]","[('dark', 'drak')]"
921,"[('topological', 'toħoloВiϲal')]","[('topological', 'teoppologicall')]","[('topological', 'topologcal')]"
922,"[('role', 'ⲙОle')]","[('role', 'rol')]","[('role', 'rle')]"
923,"[('dictate', 'dⅠcȶate')]","[('dictate', 'diktate')]","[('dictate', 'dictae')]"
924,"[('emphasise', 'emphasוse')]","[('emphasise', 'emphasise')]","[('emphasise', 'epmiasshe')]"
925,"[('based', '℔ased')]","[('based', ""baised'sl"")]","[('based', 'bassed')]"
926,"[('produce', '⍺rodȴсe')]","[('produce', 'preduce')]","[('produce', ':pr#od#u^ce')]"
927,"[('exercise', 'exeroᵢse')]","[('exercise', 'ehcercise')]","[('exercise', 'exerc""i/se')]"
928,"[('unbind', 'ⵡnbinⅾ')]","[('unbind', 'unbind')]","[('unbind', 'u)nbind')]"
929,"[('better', 'betƚer')]","[('better', ""better'"")]","[('better', 'b#ette]r')]"
930,"[('years', 'yearȘ')]","[('years', 'yirs')]","[('years', 'yares')]"
931,"[('notion', 'notioຖ')]","[('notion', 'notien')]","[('notion', '=not|i}o*n')]"
932,"[('fully', 'fu⌊lч')]","[('fully', 'foully')]","[('fully', 'flluy')]"
933,"[('partonic', 'ₚarₜonic')]","[('partonic', 'parténic')]","[('partonic', 'px4ronic')]"
934,"[('purely', 'puɽely')]","[('purely', 'purrely')]","[('purely', 'purey')]"
935,"[('reduce', 'redu⊑e')]","[('reduce', 'reeduce')]","[('reduce', 'rducee')]"
936,"[('theories', '┽hᶒories')]","[('theories', 'theoris')]","[('theories', 'teeriohs')]"
937,"[('small', 'sma⟧l')]","[('small', 'smoll')]","[('small', ""sm'all"")]"
938,"[('measurements', 'meâₛuɾemǝnt⒮')]","[('measurements', 'measurementse')]","[('measurements', 'meas8rements')]"
939,"[('requires', 'ⁿequireṣ')]","[('requires', 'requiers')]","[('requires', 'equires')]"
940,"[('conserved', 'Ⅽonserved')]","[('conserved', 'cinsewrved')]","[('conserved', 'conserve]d')]"
941,"[('collider', 'co℔līďȅr')]","[('collider', 'collioder')]","[('collider', 'collicer')]"
942,"[('sample', 'Ѕample')]","[('sample', 'sampele')]","[('sample', '<sam$pl!e')]"
943,"[('compare', 'comparᶒ')]","[('compare', 'comaper')]","[('compare', 'c<o)mpare')]"
944,"[('outwards', 'oúₜwards')]","[('outwards', 'outwardst')]","[('outwards', 'oitdards')]"
945,"[('compared', 'compareῄ')]","[('compared', 'chomepared')]","[('compared', 'compaed')]"
946,"[('evolutionary', 'evol⅃tionary')]","[('evolutionary', 'eivolushoneary')]","[('evolutionary', 'euitovnalory')]"
947,"[('large', 'largв')]","[('large', 'lardge')]","[('large', 'lgare')]"
948,"[('events', 'eveמts')]","[('events', 'evants')]","[('events', 'evntes')]"
949,"[('unique', 'unὶque')]","[('unique', 'unix')]","[('unique', 'nique')]"
950,"[('solving', 'solvinᶓ')]","[('solving', 'solvyng')]","[('solving', 'snlivog')]"
951,"[('onsite', 'onS༐te')]","[('onsite', 'onseite')]","[('onsite', 'ontise')]"
952,"[('produce', 'proⰚuce')]","[('produce', 'prowduce')]","[('produce', 'prouce')]"
953,"[('target', 'ṱargèť')]","[('target', 'targit')]","[('target', 'traget')]"
954,"[('baseline', 'baselinϴ')]","[('baseline', 'bjaseline')]","[('baseline', 'ba`s[e{l~i]ne')]"
955,"[('future', 'f⨿ture')]","[('future', 'futurea')]","[('future', 'frutue')]"
956,"[('predominantly', 'Ɒredomịnantly')]","[('predominantly', 'predomonantttlly')]","[('predominantly', 'pr^edom+in}antly')]"
957,"[('developing', 'devel໐pinԐ')]","[('developing', 'devealopeng')]","[('developing', '?deve;loping')]"
958,"[('campaign', 'cɐmpaiℊn')]","[('campaign', 'campaian')]","[('campaign', 'compain')]"
959,"[('like', 'likө')]","[('like', 'leike')]","[('like', 'l@ik^e')]"
960,"[('characterization', 'characțĕrîzatȋon')]","[('characterization', ""characterisation'"")]","[('characterization', 'characterizztion')]"
961,"[('required', 'ŗèqũiŕeḋ')]","[('required', 'requireds')]","[('required', 'Requered')]"
962,"[('precision', 'pɍecǐsion')]","[('precision', 'pracision')]","[('precision', ""'recision"")]"
963,"[('within', 'withḷn')]","[('within', 'whithint')]","[('within', 'wtiihn')]"
964,"[('paper', 'ₚaper')]","[('paper', 'papar')]","[('paper', 'papper')]"
965,"[('electroweak', 'eᶅectroweak')]","[('electroweak', 'electroweak')]","[('electroweak', 'el(e/ctro{we/ak')]"
966,"[('misaligned', '⫙isaligned')]","[('misaligned', 'misaligned')]","[('misaligned', 'mi+s{alig!n<ed')]"
967,"[('example', 'exampɭe')]","[('example', 'examppl')]","[('example', 'exam!p~le')]"
968,"[('nash', 'מash')]","[('nash', 'nish')]","[('nash', '@nas,h')]"
969,"[('galerkin', 'galerkiƞ')]","[('galerkin', 'galerkin')]","[('galerkin', 'gklaerin')]"
970,"[('neighboring', 'neighboᶯing')]","[('neighboring', 'neighbortin')]","[('neighboring', 'neighbo`r$ing')]"
971,"[('widely', 'ᷱīdely')]","[('widely', 'widelie')]","[('widely', 'wiely')]"
972,"[('scalars', 'scalarՏ')]","[('scalars', 'scalars')]","[('scalars', 'salas')]"
973,"[('result', 'resպlt')]","[('result', 'resulet')]","[('result', 'esult')]"
974,"[('jwst', '⸘wst')]","[('jwst', 'jwst')]","[('jwst', 'jws{t')]"
975,"[('introduces', 'introɖuces')]","[('introduces', 'intreoaducis')]","[('introduces', 'intr?oduc,es')]"
976,"[('nevertheless', 'neverthᥱless')]","[('nevertheless', 'nevarhthelass')]","[('nevertheless', 'evertheless')]"
977,"[('implement', 'impiement')]","[('implement', 'iemplemenet')]","[('implement', 'ieemlpnmt')]"
978,"[('trace', 'tracè')]","[('trace', 'treace')]","[('trace', 'tr]ace')]"
979,"[('strength', 'st⳾ength')]","[('strength', 'sstrrength')]","[('strength', 'stren""gt^h')]"
980,"[('referred', 'refeɽred')]","[('referred', 'refarred')]","[('referred', 'reerred')]"
981,"[('frenkel', '⌈renkel')]","[('frenkel', 'frenckel')]","[('frenkel', 'fkerenl')]"
982,"[('predicted', 'prediСted')]","[('predicted', 'pereedicted')]","[('predicted', 'pritecedd')]"
983,"[('equivariance', 'equ༐variance')]","[('equivariance', 'equivariance')]","[('equivariance', 'eqivariance')]"
984,"[('advantages', 'ѳd۷aῃtages')]","[('advantages', 'adveantajis')]","[('advantages', 'adanage')]"
985,"[('called', 'cәlled')]","[('called', 'caled')]","[('called', 'celald')]"
986,"[('optical', 'optіcəl')]","[('optical', 'optiecol')]","[('optical', 'opical')]"
987,"[('circuits', 'cǐrcúits')]","[('circuits', 'circots')]","[('circuits', 'dircuits')]"
988,"[('quantity', 'qԿantity')]","[('quantity', 'quantite')]","[('quantity', 'quantit')]"
989,"[('outputs', 'outợuts')]","[('outputs', 'outtputs')]","[('outputs', 'otputs')]"
990,"[('environments', 'en㏞ǐroᶇments')]","[('environments', ""environments'"")]","[('environments', 'environmemts')]"
991,"[('arises', 'ʚrises')]","[('arises', 'arizes')]","[('arises', 'a#ris%e~s')]"
992,"[('effectiveness', 'effectiᴠeռesⱾ')]","[('effectiveness', 'eyffectivkness')]","[('effectiveness', 'efsitnvefeces')]"
993,"[('chance', 'ḇhan⊂e')]","[('chance', 'chancee')]","[('chance', 'cnhcae')]"
994,"[('achievable', 'acḣievaþlᶒ')]","[('achievable', 'atchievabale')]","[('achievable', ""a'chie=vable"")]"
995,"[('cleanest', 'ℂleåⁿesț')]","[('cleanest', 'cleanist')]","[('cleanest', 'clexmeat')]"
996,"[('function', 'funotion')]","[('function', 'finctien')]","[('function', 'fu?nct<io~n')]"
997,"[('spontaneous', 'spontanęouз')]","[('spontaneous', 'sspontannees')]","[('spontaneous', 'sp<o_ntan!eou_s')]"
998,"[('scalable', 'ₛcǟĺǎɓlê')]","[('scalable', 'scalbble')]","[('scalable', 'wcalable')]"
999,"[('straightforward', 'stԻaɪghtfoɍw⊟rd')]","[('straightforward', 'straightorned')]","[('straightforward', ',st{raig,h,tfo.rward')]"
1000,"[('magnitude', 'magnituԁe')]","[('magnitude', 'magneteude')]","[('magnitude', 'mditanuge')]"
1001,"[('symmetric', 'sႻmmeჶric')]","[('symmetric', 'symmetric')]","[('symmetric', 'ymmetric')]"
1002,"[('terms', 'terᲅs')]","[('terms', 'turms')]","[('terms', 'trms')]"
1003,"[('understanding', 'understӓnding')]","[('understanding', 'uendeersteanding')]","[('understanding', 'understandig')]"
1004,"[('according', 'accoɽding')]","[('according', 'accorredeng')]","[('according', 'anirdoccg')]"
1005,"[('reveal', 'reveаl')]","[('reveal', 'reveeal')]","[('reveal', 'raveel')]"
