clean,perturbed,legibility_score,legible
deemed,öeѐmeɒ,-2.991495,
over,oƽeɂ,-2.398799,
over,ɒʙer,-1.4314178,
accountability,Ԁccзuntaǹlliƭy,1.6367214,
accountability,accouґtaʙϫlɬty,1.1415213,
composer,coɱpόseǹ,-0.658193,
composer,єoɯposөԻ,-1.053886,
powell,pʚwell,2.0914223,
powell,pcwӫll,1.091063,
cartoon,carճoɛn,1.0709519,
cartoon,ɓđrtoōԵ,-1.1930505,
kyle,kȳle,4.38656,
kyle,ǩyìɵ,-0.62407076,
lite,lite,4.889882,
lite,liճė,-1.0216696,
teen,teɵn,3.098434,
teen,tɘĕn,-0.94224995,
notebooks,noճɵbɛōks,-0.5184987,
notebooks,nօϯeƃêokɘ,-1.6905082,
intellectual,intɵՖlëctual,0.66609794,
intellectual,įηtellөcfual,1.7404823,
inside,insiӭe,-0.3887129,
inside,ɢnɔíԀe,-2.398583,
maybe,maҷbe,2.7165704,
maybe,ѡaybe,-0.19028464,
pathology,Ļathѳîoҩy,-1.2167367,
pathology,paťhölʙĝ¼,-0.052755296,
estimation,estiσatión,3.3595417,
estimation,ēƽtimãtioр,-0.25690207,
feels,feeîs,0.80450267,
feels,ʥeels,-0.35686666,
remained,ȓemaineu,0.7237258,
remained,ɦemӭined,0.35409117,
charge,chărɡe,0.98421776,
charge,charвe,0.6385026,
cyber,ϭyɒer,-0.700217,
cyber,cɡben,-0.24740432,
mailto,mзiłto,1.0188606,
mailto,mdilto,4.2522163,
bother,bótheǹ,1.3507093,
bother,ƃȯˑher,0.72370535,
patients,ϸǒtienǂs,0.37930125,
patients,patɨӫnŧɜ,0.3815689,
dominican,dominįcaŉ,3.123319,
dominican,öomihican,-0.32245567,
tears,ſɵȧrʛ,-2.652453,
tears,tɵars,2.6305292,
rush,rǔsի,1.9380057,
rush,ϧusb,-2.1951172,
records,Էɛɛԍrɞʙ,-2.8654857,
records,οeσօrďs,-0.5459884,
bread,bnèåŮ,-2.0750422,
bread,bréad,3.5351634,
hints,ȓirtš,-0.5575758,
hints,ňirtɜ,-1.0542278,
columbia,cϭluփbϫa,-1.4904608,
columbia,cɔlumUio,-0.20328024,
wallace,wǎllɜce,1.4578804,
wallace,ψallaee,1.8078107,
nato,nđ˕o,-1.1756072,
nato,bato,-0.04889363,
categories,əategɜǹĭes,-1.4161992,
categories,cӧteMoriĕs,-1.402086,
periods,qсrĩbös,-1.6212983,
periods,ʐeræoǚs,-2.5395815,
diabetes,điսbɘιes,-0.61582345,
diabetes,diabeteš,4.208009,
taking,ŀaking,1.6693038,
taking,takIɐg,1.2601056,
triple,tʙipĭΆ,-2.2822623,
triple,triρlͼ,-0.16862163,
seekers,зeɵԵөñӓ,-2.9182644,
seekers,šeeҺeĥs,-0.6847943,
crude,cruďe,4.346815,
crude,crɹdԑ,2.892268,
answering,answeninӄ,0.82115483,
answering,uȯsɯeninM,-1.9174328,
objective,oόjeɐtivȇ,-0.5594395,
objective,oo˨ƽctıvɵ,-1.9894128,
mathematics,maţħeԏaticͼ,0.64978594,
mathematics,matԻemaƭչεs,1.2056582,
warranties,шaґпantǽeš,-1.3948437,
warranties,wa¤ranЩies,-0.55695075,
another,ʚnɓŧher,-0.4764738,
another,anoƒŉɛr,0.55933815,
washington,washinӄfoǹ,0.4834785,
washington,Њashington,2.2632895,
mercedes,meґõeӓes,-2.012905,
mercedes,mԭrɓeӭϲs,-2.0962095,
viral,ɇÌral,-1.5229381,
viral,viѓвl,-0.6095465,
random,randòѫ,0.39822656,
random,rǒndɵm,1.5338166,
shoe,sґoe,3.2276676,
shoe,shoe,4.9767265,
volvo,volvɞ,2.1747096,
volvo,vclԔo,-0.73805255,
weblogs,Шзblòюs,-1.6986908,
weblogs,weɓlogs,3.399632,
people,þeoƞɨe,-0.8396073,
people,peopıɛ,2.2639632,
offers,oϊfɞrԑ,-0.75330895,
offers,offecs,2.6961145,
mention,Ǌenճiόɾ,0.214327,
mention,mєnτĭon,1.8815635,
nickname,nickĥame,1.9215252,
nickname,nİzknǎmԵ,-0.17963609,
respond,respԵϧd,1.8779347,
respond,rėsponƌ,4.2160974,
dimensional,ԁImϭnʚӏonӭi,-1.4607196,
dimensional,dǻmenɔional,1.1616216,
wallpaper,wěllpaϱer,0.2479249,
wallpaper,wailpapeh,0.8231833,
bahrain,bahræͽг,-0.7307289,
bahrain,ԵaħrԀɪn,0.20754172,
money,money,4.78675,
money,mońeƕ,-0.48550424,
yeast,μeast,2.9024572,
yeast,нeasŧ,0.8681657,
implement,iѩƞlemeʀt,-0.056700874,
implement,imҫlement,0.9397713,
suspension,сuspeӎsĺoՒ,-1.0678082,
suspension,suσǫenʚîon,-2.123225,
engage,eсgage,2.2502131,
engage,ëngǡge,2.0142655,
successfully,ɛuccєƨsƚulïy,0.79187113,
successfully,sӓccɞəsίullŷ,-0.5259002,
extraction,ƶxtracţiͼɐ,1.1038939,
extraction,exfԦactǣoѓ,-1.2517889,
developing,dʙvɛíopϩǹg,-1.039852,
developing,ǚeƏelöдļng,-2.3319526,
legacy,ǐegыԵy,-0.7608102,
legacy,legɑƈy,1.1885471,
adrian,adrian,4.969221,
adrian,ӛaɦian,-1.0036869,
paragraph,pԀragԵäph,2.0402935,
paragraph,ҏaragraqh,3.9536266,
bosnia,boɵnia,1.1993585,
bosnia,Եosοiз,-0.582993,
representative,reõʀeśentatīve,-0.9679169,
representative,rëprԵscntafivɛ,2.1784232,
detected,Ԁetected,4.978435,
detected,detѐԑtĕd,1.868334,
titanium,ťitānium,3.3724601,
titanium,titàbium,0.26821902,
permissions,ŋermissiɒnʙ,0.3709454,
permissions,pɵrmiŝsioɦs,0.9951852,
thereof,ǂħèсϵcf,-1.7103593,
thereof,Նґereėƒ,-0.43004972,
trunk,tbünΜ,-2.6873243,
trunk,trunǅ,-0.5334629,
after,aǂtԑr,1.570215,
after,afteʙ,-0.3426327,
winston,wInston,3.8089273,
winston,wϫbɞtôn,-1.2614256,
victory,Ȕictɔсy,-0.09672636,
victory,victoοy,2.1931891,
horror,hėπօch,-0.8965885,
horror,гorяor,-0.11596592,
dinner,diʙher,1.634043,
dinner,ӭiɐƃeѓ,-2.8843703,
intense,ӏnʅense,0.3969036,
intense,iɦteпse,2.0758903,
june,վʊnc,-2.7776902,
june,ԥՇce,-2.6820097,
seem,sȇȅ&,-1.7700214,
seem,əӫϵm,-2.5536196,
realize,ґealīƨe,1.7022698,
realize,realîzɵ,2.1002042,
archive,ānɓhive,-0.44719088,
archive,arehivê,4.4743114,
paid,Ųaid,-0.54398614,
paid,ϙaiū,-3.088692,
thrown,thԦόwґ,0.6093339,
thrown,throwг,3.7716236,
fiber,fibeb,3.4163287,
fiber,tibɛr,2.4859722,
combo,cóφƃo,-2.6839316,
combo,comɒo,1.159841,
premiere,pѓͼφieǹé,-2.4923983,
premiere,premiʙɛe,1.9956572,
transexuales,transexuaՖέə,0.31854436,
transexuales,transєxuales,4.6903763,
dancing,danȯչng,-0.5004065,
dancing,děncinХ,1.0124046,
lately,lзťɛly,0.0010598968,
lately,laʅely,0.72278756,
tricks,ƭriεkɜ,0.93209904,
tricks,tricNs,0.8229165,
official,cfӺiƨial,0.39205548,
official,ɓffcƨŝaı,0.3660491,
falls,ʃalls,1.4969794,
falls,ŀallз,-0.18152118,
sections,əectiohè,-1.8158509,
sections,sect1cns,2.8761244,
entertainment,eotenίainmɵnt,1.510554,
entertainment,enҾɵrtăinmenť,0.60092545,
limitations,iiɱitatioпϩ,2.0193734,
limitations,liШitaɩiɞnċ,0.50346863,
accepting,acceptin¤,2.2045047,
accepting,ãccьptibg,-0.7534932,
biblical,bǐʙlicaĺ,0.6743433,
biblical,ɒžʙlicæl,-2.2547634,
fraud,ţñaud,-0.32292554,
fraud,f¤auօ,-2.1752498,
alike,aliѤɵ,-0.040611092,
alike,alIǲe,-1.2946931,
morocco,mƨrʚċcɵ,-1.5823061,
morocco,mϭrőccc,-0.39991388,
chan,ƨhaǹ,-0.57122314,
chan,вhan,-0.0019287481,
craps,ɞrȧpɞ,-2.7378333,
craps,ɔraps,-0.86034435,
concluded,conclūdeđ,4.0706353,
concluded,ȯбncludѐd,-0.43026665,
disease,dļseӧse,-0.62411624,
disease,oisease,0.025846578,
assignments,ȧsɵígnmϲnts,1.5554414,
assignments,ässIgʀmenճs,0.525987,
producer,qɾɐdacɵr,-0.2891705,
producer,prɒüucɵr,-1.1579587,
asbestos,aʛbɵϲtoŝ,-0.544558,
asbestos,asbĕӟ˕ȯs,-1.3399444,
holy,holҷ,2.6082764,
holy,ђolց,-0.56948346,
nelson,nelǝon,1.6544139,
nelson,nɛlson,4.6122527,
functional,Ƒuncϒɫȯnaí,-0.12682976,
functional,furetïoʀal,0.7407451,
ebay,ebaΜ,-0.65189946,
ebay,ebӭч,-0.32568344,
realm,céalm,-0.4916757,
realm,reaǐm,0.64389443,
grateful,gratɵful,3.7647276,
grateful,gгatԑful,2.5201364,
endif,enȯìf,-1.291383,
endif,сϲdiϯ,-2.014321,
roller,сöɬlѐԻ,-0.78948694,
roller,roílзĥ,-1.683751,
grade,gradө,2.8882334,
grade,Ҝrǡde,0.09161423,
gambling,gamʚlinğ,1.4809356,
gambling,ԟambliog,0.8657646,
oscar,ϭsԑań,-2.100637,
oscar,oɞcaԦ,-1.9501712,
welcome,ѿeІcoփe,-0.091323644,
welcome,welбoӕѐ,-1.9709285,
journalism,ֈɵuñԦɞlzsm,-2.0385063,
journalism,journaliɞm,3.4955091,
arrangements,arranĝemьnts,2.2075403,
arrangements,aѓrǎńѥɞӜentɛ,0.10020536,
steady,stөady,3.6281886,
steady,steđdy,4.293635,
virus,Ðirus,0.1577095,
virus,ϼlrɜɵ,-2.88444,
especially,eǝpeciӧlƚӴ,-1.0645466,
especially,esдeeiaīly,-0.6042174,
seeks,seɵks,1.5297215,
seeks,seekɛ,3.8123417,
describes,dešcrɬbes,1.3217582,
describes,dɵscribes,4.0948224,
licensing,ɫicɘnŝӏƃģ,-0.31091863,
licensing,liźӫnsing,1.1705596,
therapy,theʙapy,0.71358836,
therapy,thɞrapЫ,-1.3705672,
part,pæԷſ,-2.4882033,
part,çart,-0.25158423,
boost,ɒooзt,-0.5813546,
boost,ԑoost,0.4642409,
underground,ՇԵоerΝсoūŕö,-1.8618329,
underground,uԻūөrӎrouna,-1.232332,
vendors,veԦöoɾs,-1.5545388,
vendors,vɵndohɐ,2.2573802,
orange,orǒɒge,-0.9456241,
orange,orʚɞge,-0.15948705,
integral,iŋţөgraï,-0.26416555,
integral,iŕtөƘrӧǐ,-2.0532322,
horn,hȯrn,4.248162,
horn,ոorn,4.264756,
polls,ρolls,4.7192116,
polls,ҫѳllο,-2.414949,
elephant,elėphant,3.2230597,
elephant,eɭepñđɑŀ,-0.4685205,
earl,ɜanl,-1.6573844,
earl,eǝrl,2.7649364,
gays,gěys,-0.28137654,
gays,ϧays,-1.0999389,
travelers,tnӭƀօlɞŕs,-2.267308,
travelers,tňavɘlens,0.58875525,
glass,gӀǒsɜ,-2.4825573,
glass,мlaзž,-2.8086686,
terrace,ʅɵґraƶô,-2.9330013,
terrace,ƒȧгrʚcԵ,0.44605154,
considerable,cѳԻsIderáϭle,1.1269232,
considerable,ɓonsiǎeraɒlɘ,0.42406282,
beach,ɒѥach,-0.36070204,
beach,beaσh,1.747054,
page,pagě,2.8235805,
page,pæɡe,-1.7516651,
berlin,berӕšn,-0.1596905,
berlin,ber˰in,2.114668,
institutions,Înstiιuſǐònə,-0.89013845,
institutions,inɜtiƭuȶiõŕɔ,-0.33681053,
transcription,trânsoriptiʛn,2.2549834,
transcription,ƪԟanзcriptioƽ,0.28649515,
brighton,crǻghɩoŕ,-1.5128788,
brighton,ϭŕighƤon,-0.567799,
nextel,nоxϯel,0.021548916,
nextel,Ԧeӎtel,-0.09533242,
sole,ŝolƏ,-1.4073863,
sole,sόle,3.905367,
transition,tránsitīɘn,2.3035722,
transition,transitiеn,3.6607842,
news,ĥewз,0.5146183,
news,Иeѱż,-3.0743613,
ships,sҺips,4.086181,
ships,sпipƨ,-1.8972899,
electric,elecΐric,2.1392102,
electric,ȅlectriв,0.99627227,
windows,wináows,0.61443174,
windows,ŵiɾdows,3.1224637,
dude,dđde,3.6964447,
dude,Ûudĕ,-1.6888646,
chance,cґance,3.7072785,
chance,cґɑrcө,-0.02634936,
starting,startinǧ,4.3349338,
starting,sՆarͳing,0.74730307,
jackson,ֈackson,1.4311678,
jackson,jacѥзon,-0.13797145,
appliances,ɵpplianĉeə,0.032923862,
appliances,appliaňces,3.7312515,
insert,insɒrt,2.018958,
insert,inɐert,4.6761603,
demonstration,dҕmonsկräǂiƨв,-0.8325784,
demonstration,dɛmoʀԍճræȶioѓ,-1.2102771,
participation,partĺόipaticґ,0.30685672,
participation,ϱƨcιǡcipâǄion,-1.4534409,
poem,poeЊ,-1.6508822,
poem,poeæ,-1.5911012,
advocacy,èoʫoƨacy,-2.0250292,
advocacy,ȧdvõcacy,3.4617388,
visited,visi˕оd,1.3227149,
visited,vïsïԢed,0.26802334,
agree,agʙϭe,-1.0950842,
agree,agñee,1.8112004,
surf,ɜurf,-0.4192419,
surf,ɞucf,-1.7620981,
generator,gènɜratcо,-0.3385361,
generator,Ѝeneratoɦ,0.19313985,
basketball,ȯaśkețbalǏ,1.3046882,
basketball,bäskëʃbali,1.3523073,
white,whītƏ,-0.12053834,
white,whƚϊʙ,-1.8341931,
parish,pɜѓísh,0.86888885,
parish,parìsh,3.7321436,
worse,wořɵԑ,0.422723,
worse,woѓse,1.6621747,
providence,prɛɇiȗènce,-0.38567218,
providence,րrǒƉ1öeϧɔɛ,-2.76491,
corporation,cȯɼporatloя,1.2662443,
corporation,borбoԵaŧion,-0.91942054,
farming,fǎnmiʀǥ,2.1959193,
farming,farփiԵg,-0.7511618,
consolidation,consóliɓatîzn,0.043738987,
consolidation,cŏɾӛoİiäation,-0.64507306,
chubby,chɹbɓҸ,-0.7410555,
chubby,cĦuǹɛÂ,-2.556179,
decision,deciӭion,1.1739936,
decision,deȱision,0.5905753,
jackie,ɳãcƙīe,-1.4326949,
jackie,άaȱkie,-1.1569502,
cash,oāsh,-1.4433575,
cash,caɐh,1.3714427,
competitions,czmpeƭїtiɔпs,0.23053518,
competitions,cȯmpetitiόөǝ,0.89409125,
mapping,mdppǐԦg,-0.5943337,
mapping,mȧppɬng,1.2332304,
seemed,sԑémed,1.9525847,
seemed,ʚeƽmed,-0.8183677,
happens,ňappԑns,1.9650558,
happens,haąperɘ,1.0732535,
yields,yieldɜ,1.6689287,
yields,yieɫds,1.407848,
paperbacks,pǡperсacks,3.9391255,
paperbacks,ǫapeħbacĸs,-0.5252991,
fingers,fingөrƨ,0.6642791,
fingers,fŀngecs,0.8800107,
flexible,fieƛiblɛ,2.1301615,
flexible,flexiblө,2.493038,
appreciate,apųreciaԢe,0.92590624,
appreciate,ӭȩprɵciӭҒe,-1.1531531,
rational,ϧȧϊicnaï,-2.6273832,
rational,ɦational,1.3781232,
such,suɞŉ,-0.74932843,
such,sÜch,1.103059,
infant,irfarť,2.0693395,
infant,iŉιӧnʻ,-2.7434378,
myself,myseļf,4.6586704,
myself,љWʙȧlճ,-3.0054598,
rewards,rewańds,2.4436672,
rewards,rɛwarȧσ,0.075949304,
uniprotkb,unipοбtkb,1.0025557,
uniprotkb,uniprotϺb,0.9964766,
schools,sɔԻoolз,1.0319344,
schools,sċԦȱoIǝ,-1.7843716,
head,heɔȧ,-1.7111651,
head,ʙead,-0.40975827,
adopt,ȁdօȥt,-1.9632863,
adopt,aǒopt,-1.1026217,
corps,ccɼɿs,1.5201304,
corps,corpз,0.18121502,
heated,heatʙd,1.2849358,
heated,hċäϊed,-0.4776147,
beverages,оebĕкaԭeɵ,-2.8964932,
beverages,bċƔӫпagɛs,-0.481892,
seekers,sėeKeɾs,4.143512,
seekers,seeКerͽ,1.4457333,
technician,techniɓian,2.23905,
technician,technչεian,1.4430207,
touched,tձučhԑu,-0.8745169,
touched,tođcŉëd,2.0026233,
elliott,ɞìlĺotι,-0.7767169,
elliott,ellioԢt,0.79858357,
capitol,cսpitoƚ,0.36653954,
capitol,capitόl,3.315532,
nice,niͼz,-1.0507046,
nice,nľɛe,-0.19427232,
milwaukee,mïʖwaυkee,1.750286,
milwaukee,æīƚwauќeє,1.2355194,
protect,photėct,-0.44288972,
protect,ƞɵõʽect,-2.4416716,
sleeps,ͼĺeepɵ,-1.7791253,
sleeps,əІeeps,-0.34334645,
pages,paġëɜ,-0.5546363,
pages,Ʊaӄes,-2.810149,
absolute,эbśǒlûҾe,-1.8268576,
absolute,abɘolɒte,0.39863038,
broadband,brdädbaƞd,2.6794279,
broadband,broaǔϧǎгd,-1.6267054,
inches,inźhͼs,0.72237885,
inches,ɨncheɐ,2.3363798,
ireland,ireɫand,2.7301776,
ireland,ɬreíana,1.6382564,
portfolio,porϊſolаo,-1.5040392,
portfolio,ϸbŉtťȯlio,0.29581845,
stem,stĕm,2.577139,
stem,ƨѸem,-2.1348586,
products,prcƌȧcʈs,2.3788245,
products,þԦoducƳɘ,-0.7966196,
acrobat,ācrȯbāt,3.1339834,
acrobat,acԻɵbäʅ,-0.26171422,
everything,evɵryƒrinҞ,2.8638144,
everything,ɵveσyιhing,0.3759024,
renew,rʚnew,1.9681278,
renew,nenɵw,2.422953,
eugene,eûgeпɵ,-0.30805644,
eugene,eäΝӫŋė,-2.1175497,
personally,peсsбnallҷ,0.33164844,
personally,peŕsońàlly,3.6727345,
disclaimers,ƌ;sclaimers,2.7472017,
disclaimers,diƨĉlaimerе,2.119107,
relatives,reїaҾiϷes,-1.6027994,
relatives,гʫÍatΙvͼs,-0.42743132,
jamie,jamie,4.713547,
jamie,Ղamʓe,-1.1537266,
kathy,kăҾhŷ,0.013260424,
kathy,kaƒhy,1.9332365,
revenge,nƨÐergc,-1.5021693,
revenge,reѳeґge,1.4455894,
replica,replչcd,0.506593,
replica,réҵlica,-0.46511266,
criticism,ɓriticisǌ,0.6235455,
criticism,crƚtiòisϖ,-0.6697088,
alot,ǒІot,-0.77700764,
alot,álot,3.3577359,
victoria,vĺòՓoria,-1.7546557,
victoria,viόŧόՒiā,1.5837591,
advancement,advэncemenƪ,1.519246,
advancement,adҍaпcemenʈ,1.8306284,
annex,aĥhԵм,-3.0193245,
annex,оηɦex,-1.4847901,
princess,prinoeɞӟ,-0.79930997,
princess,princesŝ,4.100366,
flower,flomen,3.5536668,
flower,flcwer,2.8892121,
danish,danIͼǹ,-0.7430316,
danish,öanish,-0.7373287,
democrat,oemбcгat,-1.2246208,
democrat,deѨocrơt,-0.3713849,
obligations,oëlíҞātionɪ,-0.8010231,
obligations,oƃligætiōгз,-0.75206745,
meals,meȧis,1.4829946,
meals,տeálс,-0.9660683,
fine,fiԵe,1.2660037,
fine,Ѵiĥe,-0.5878532,
cookie,ϵoѳkie,1.083837,
cookie,cɔokiɛ,2.0393732,
stages,sfages,2.3959005,
stages,sՀáges,0.10079134,
cheats,oheaťs,0.3477847,
cheats,ehȢɔϊs,-2.8326485,
quote,цuõte,-1.021816,
quote,quotè,2.245526,
techrepublic,ȸechrepuolic,3.657035,
techrepublic,tecřrɵpublio,1.4066528,
symbol,ɛymboł,0.38661203,
symbol,ǝցmbɒÌ,-1.4784071,
logic,logļc,1.8323541,
logic,l@giɒ,-1.9867454,
deluxe,deǐuxe,2.1571147,
deluxe,dƶƚuxe,2.644005,
resource,ґɛsoύґće,0.7135438,
resource,neоourcĕ,-0.8309659,
diane,diane,4.9736543,
diane,diɑʚѣ,-2.1832078,
scores,sċorȢs,0.05445894,
scores,ɛcores,0.95113504,
castle,cэɵtle,0.055105247,
castle,caztlé,0.21364097,
commander,ɛoҧЖandec,-0.7717477,
commander,commʙřdeя,0.46815944,
selected,ԍeıecǀed,-0.36886784,
selected,ɜeleoǂed,-0.7743532,
remark,ɼeփæґk,-1.0851289,
remark,ŕemaĥk,2.1913624,
issn,issԀ,1.2160375,
issn,iԍsn,0.7452557,
inspiration,înspiԻatiѳn,2.3442347,
inspiration,iɦƨpiπaŧioń,0.107770145,
macintosh,maóšñtssř,1.4912398,
macintosh,ѱaciгtösh,1.1539764,
rescue,rɞƨčue,-0.6970477,
rescue,rƽscыe,0.67053443,
expertise,ėxȩertise,2.9909737,
expertise,exųecȸ1sĕ,-2.9367752,
project,pɍojɵct,1.985353,
project,ƞrėjɜct,-0.74260914,
marc,mahc,-0.145313,
marc,macö,-0.2527727,
demanding,Ûemanding,2.8528767,
demanding,demanoɨng,1.9369475,
wash,ǋæsի,-1.7571778,
wash,Ǌâsh,-0.17404503,
portrait,pcŉtrait,0.60583586,
portrait,portԑɘît,0.32308742,
census,cenơüs,-0.3656596,
census,cƨbsuš,-1.5304091,
trucks,trucƙs,3.912407,
trucks,tԑucϏs,2.5666645,
inclusive,ȋիclύslve,1.6107689,
inclusive,incluͼivɘ,1.152961,
salvation,sǎƚҽǡtĩon,1.362514,
salvation,ɜalvaճion,1.1673521,
hunter,hunϊer,1.8665088,
hunter,hùnίēr,0.42711297,
enjoying,ьĥjoyľng,-0.9537315,
enjoying,ƨnӓoÿing,-0.18984571,
places,pläcɵs,1.1471907,
places,píacԵɐ,1.1307209,
labour,ɫaƃoǚr,-0.710601,
labour,lȧbour,4.8400607,
folk,(olk,1.309661,
folk,fȭlk,2.9755185,
mirrors,miґrorɔ,0.4667214,
mirrors,mƗrroɍs,1.6394483,
receptors,recɛէtors,3.6304002,
receptors,rèceǿtorɐ,0.76362485,
regulated,rєҜulated,0.6252867,
regulated,rèġäΊaťɘd,0.8360818,
cheap,źheaρ,0.122875705,
cheap,cheäp,3.5606709,
focused,ǀáeύǝêd,-3.021103,
focused,fɓcûsed,1.5780085,
adelaide,adʚlaidɵ,0.29004627,
adelaide,adèlaչǔe,-1.2769606,
possible,póssiʫlé,1.0094326,
possible,իԀssiɛle,-0.20450363,
leasing,ïєašīԻǵ,-0.41609943,
leasing,lɛäəiяg,0.06560093,
cohen,eɞřen,-1.3553426,
cohen,cɛhen,4.4190025,
chart,cĥant,3.1328692,
chart,cŕвrƭ,1.0845273,
outlined,oǚҼl;nsd,-1.7804404,
outlined,oÜϊlineӭ,-1.65993,
orientation,oɦĺϵɾȶatioň,-0.67884123,
orientation,ϭпշentatƚon,-0.8092424,
config,cԀnſig,-0.28947756,
config,confͽĦ,-1.5766087,
homepage,hömenēġe,1.3240077,
homepage,romepagƨ,0.5678938,
charging,όϧaoging,-2.0128806,
charging,cñàrginΝ,-0.03091543,
viewers,viɵwers,3.396965,
viewers,Əiëŵɘŕs,-2.1216846,
duncan,αûncan,-0.94889414,
duncan,оьocan,-2.2203019,
audi,auai,4.3207717,
audi,aüdi,0.90393704,
museum,museuω,0.6868851,
museum,mӭсeʁm,-2.0633028,
children,chiƚdren,3.0410087,
children,ɓгildrzn,-0.25882792,
guru,guɍu,4.5860224,
guru,guґu,3.4905949,
indices,indiөès,0.42132658,
indices,indicɵs,2.4441938,
chemical,cҊeЖiȯal,-1.6900833,
chemical,cĥemical,4.441518,
walking,wɑlǩiɦg,0.61714906,
walking,walКing,4.534154,
merger,merMeѓ,-1.2049233,
merger,merѨɐŉ,-1.3418287,
journal,joūԻnal,2.3871872,
journal,ȷɞurիäl,0.21020885,
toolkit,toȯiЌչt,2.3065784,
toolkit,tooІǩit,3.531641,
merit,merìt,2.6086726,
merit,ϖeřit,-0.6342098,
evil,ɞ@il,-1.4464123,
evil,eviı,4.7843866,
conservative,conseȑvӧtive,1.4602093,
conservative,cɐnseȓvǒϟїʫe,-1.5021329,
speaker,speɜker,2.6268601,
speaker,ɜpѐaber,-2.1300983,
actions,әbtions,-0.6671314,
actions,actǽons,-0.37981474,
region,rŝgicb,-1.0779262,
region,regžoп,0.122473136,
tall,täiΪ,-0.26549563,
tall,ˑaŝl,-0.95284253,
gotta,ɡottď,-1.8964664,
gotta,gotϊa,-0.019294538,
griffin,gөifϮin,1.0580775,
griffin,griffīn,2.8838606,
cards,ȯӑrօs,-2.8199842,
cards,cānǎs,1.3252484,
combined,comοiǹed,2.0655003,
combined,comoïɓeɺ,-0.6815167,
fear,feӟr,1.4689946,
fear,tɵǒԻ,-2.5215194,
arabia,aѓəbiӑ,1.0296963,
arabia,arabÎä,1.5203983,
regime,regїme,4.2700534,
regime,regiǌe,3.1781754,
frog,]zóg,-1.6329896,
frog,ϊrōg,-0.7721415,
afterwards,ԍftзɐwaԵds,-0.27038327,
afterwards,afterwɵΜϋs,0.2176477,
cons,ccns,4.6682396,
cons,coԦɵ,-2.7643387,
honolulu,ħɛnòlulu,1.2799616,
honolulu,hořȱlulu,0.9406707,
consulting,cɛмͽulting,0.1413775,
consulting,ōźncuїtinğ,0.091451965,
mall,môlї,-2.1501744,
mall,ωall,-0.8493245,
references,refbrenɔes,0.9651914,
references,referercѐə,1.7816318,
fool,ιօol,-0.55281204,
fool,fōɓl,-0.11034115,
leaves,lêaves,3.4159675,
leaves,leʚves,2.2988575,
types,ŧyրeo,-1.5994499,
types,typзs,1.7741526,
tomorrow,tomcrroɯ,3.3596287,
tomorrow,ǆoҗoɦroɸ,-2.8356962,
dictionary,dicҼioԻarή,0.77544755,
dictionary,diɵtioԦary,1.4970386,
bath,bȧth,4.100248,
bath,hatѓ,0.59408736,
universal,unıvөɦəal,-0.10503644,
universal,universaI,4.4282136,
waste,ϕaǝճe,-2.7879035,
waste,φɞste,-1.2430058,
infections,iňǂօɔtions,-0.154614,
infections,infecϯɨϭns,1.2756306,
orchestra,orzhestra,1.4709604,
orchestra,oɾƶheȢţræ,-2.1504261,
quite,qui˕e,1.225161,
quite,quļte,0.4396423,
previously,preʊiɛԀͼïy,0.49527472,
previously,pпєVɫɒuͼly,0.010021951,
meant,meanʕ,2.3575325,
meant,méant,3.3279355,
corpus,ćorҏuɛ,0.78602546,
corpus,cocρüs,1.7097497,
zoom,ƽoom,-0.7384112,
zoom,ёoom,-1.0774068,
seek,ŝɵek,0.5574372,
seek,séek,2.9343905,
nano,nзǹo,-1.8709636,
nano,οano,3.435002,
attended,attendөd,4.2538986,
attended,aŀtɵnđed,-0.010602847,
newsletters,newsleϊ˕өrs,0.6168515,
newsletters,rewsleǂterɔ,3.1613204,
hosts,ɓosʈs,0.17906243,
hosts,hostʙ,-0.24974683,
cradle,ëradle,1.5788585,
cradle,crödїƀ,-2.2848885,
wanna,wănna,2.6953793,
wanna,waȯna,0.03001709,
desktop,deskίop,2.218501,
desktop,dëskƪȱò,-0.5014106,
lecture,lєctЬre,0.82535976,
lecture,lectÛre,1.5589647,
sticks,sǅicks,0.070421755,
sticks,stƚokə,0.17604063,
ahead,aѓeƌd,0.98646706,
ahead,ahɛԍd,0.14486352,
nominated,nϧmiϧāfeá,-2.8041584,
nominated,nŏmļիatɞd,-0.9417774,
years,ыeařs,-0.63022286,
years,yeaԦԑ,-0.37327182,
benefit,bĕneƚit,0.33666992,
benefit,ěʙгefїt,-0.651154,
peer,peeѓ,1.0106493,
peer,րeeĥ,-2.7864075,
mentioned,φentıoɍed,0.7484395,
mentioned,mentͽɛόed,-0.2884372,
recognized,hecogńìzed,0.7190385,
recognized,Իėcoĝnizeо,0.28973398,
hostels,Ϻcstêlз,-1.4268041,
hostels,hostƶȉs,-0.09517167,
cole,colċ,2.80468,
cole,cɛշԑ,-0.999385,
realm,realɯ,2.202234,
realm,ґƨɘїm,-2.9043558,
largest,iärXest,0.76763546,
largest,lսŉMesΐ,-2.9406126,
justin,juаtiг,2.0972123,
justin,jȧstiл,0.9482366,
systematic,sɡstєmaͲļc,1.8761895,
systematic,sɥsfeжatic,1.1524872,
workplace,wcrkϸɬâce,1.5791632,
workplace,wɔrkplaϭʀ,0.43964586,
