Dataset,Prompting,Ratio,Category,Class,Support,Support %,Prediction,Prediction %,Precision,Recall,F1-Score,Accuracy,AUC,Confusion
legit+dces+ices,visual+phonetic+typo,0.75,hateful,No,2277,0.8045936395759717,1256,0.44381625441696115,0.94,0.52,0.67,0.59,0.73,"[[1185   71]
 [1092  482]]"
legit+dces+ices,visual+phonetic+typo,0.75,offensive,Yes,878,0.3102473498233215,2151,0.7600706713780919,0.38,0.92,0.53,0.5,0.67,"[[ 609   70]
 [1343  808]]"
legit+dces+ices,visual+phonetic+typo,0.75,offensive,No,1952,0.6897526501766784,679,0.23992932862190813,0.9,0.31,0.46,0.5,0.67,"[[ 609   70]
 [1343  808]]"
legit+dces+ices,visual+phonetic+typo,0.75,toxic,Yes,507,0.17915194346289753,1873,0.6618374558303887,0.2,0.72,0.31,0.42,0.59,"[[ 817  140]
 [1506  367]]"
legit+dces+ices,visual+phonetic+typo,0.75,toxic,No,2323,0.8208480565371025,957,0.33816254416961133,0.85,0.35,0.5,0.42,0.59,"[[ 817  140]
 [1506  367]]"
legit+dces+ices,visual+phonetic+typo,1.0,hateful,Yes,553,0.19540636042402826,1540,0.5441696113074205,0.31,0.85,0.45,0.59,0.73,"[[1208   82]
 [1069  471]]"
legit+dces+ices,visual+phonetic+typo,1.0,hateful,No,2277,0.8045936395759717,1290,0.4558303886925795,0.94,0.53,0.68,0.59,0.73,"[[1208   82]
 [1069  471]]"
legit+dces+ices,visual+phonetic+typo,1.0,offensive,Yes,878,0.3102473498233215,2258,0.7978798586572439,0.36,0.93,0.52,0.47,0.64,"[[ 509   63]
 [1443  815]]"
legit+dces+ices,visual+phonetic+typo,1.0,offensive,No,1952,0.6897526501766784,572,0.2021201413427562,0.89,0.26,0.4,0.47,0.64,"[[ 509   63]
 [1443  815]]"
legit+dces+ices,visual+phonetic+typo,1.0,toxic,Yes,507,0.17915194346289753,1912,0.6756183745583039,0.19,0.72,0.3,0.4,0.59,"[[ 774  144]
 [1549  363]]"
legit+dces+ices,visual+phonetic+typo,1.0,toxic,No,2323,0.8208480565371025,918,0.32438162544169613,0.84,0.33,0.48,0.4,0.59,"[[ 774  144]
 [1549  363]]"
legit+dces+ices,zeroshot,0.25,hateful,Yes,554,0.19513913349771045,1663,0.5857696371961958,0.3,0.9,0.45,0.57,0.76,"[[1121   55]
 [1164  499]]"
legit+dces+ices,zeroshot,0.25,hateful,No,2285,0.8048608665022895,1176,0.41423036280380415,0.95,0.49,0.65,0.57,0.76,"[[1121   55]
 [1164  499]]"
legit+dces+ices,zeroshot,0.25,offensive,Yes,879,0.30961606199365976,1466,0.5163790066924974,0.46,0.77,0.58,0.65,0.73,"[[1170  203]
 [ 790  676]]"
legit+dces+ices,zeroshot,0.25,offensive,No,1960,0.6903839380063402,1373,0.48362099330750263,0.85,0.6,0.7,0.65,0.73,"[[1170  203]
 [ 790  676]]"
legit+dces+ices,zeroshot,0.25,toxic,Yes,507,0.1785840084536809,1646,0.5797816132441,0.22,0.72,0.34,0.5,0.63,"[[1052  141]
 [1280  366]]"
legit+dces+ices,zeroshot,0.25,toxic,No,2332,0.8214159915463192,1193,0.42021838675589995,0.88,0.45,0.6,0.5,0.63,"[[1052  141]
 [1280  366]]"
legit+dces+ices,zeroshot,0.5,hateful,Yes,553,0.19540636042402826,1828,0.6459363957597173,0.28,0.94,0.44,0.53,0.74,"[[ 968   34]
 [1309  519]]"
legit+dces+ices,zeroshot,0.5,hateful,No,2277,0.8045936395759717,1002,0.35406360424028266,0.97,0.43,0.59,0.53,0.74,"[[ 968   34]
 [1309  519]]"
legit+dces+ices,zeroshot,0.5,offensive,Yes,878,0.3102473498233215,1931,0.6823321554770319,0.41,0.9,0.56,0.56,0.7,"[[ 808   91]
 [1144  787]]"
legit+dces+ices,zeroshot,0.5,offensive,No,1952,0.6897526501766784,899,0.3176678445229682,0.9,0.41,0.57,0.56,0.7,"[[ 808   91]
 [1144  787]]"
legit+dces+ices,zeroshot,0.5,toxic,Yes,507,0.17915194346289753,1882,0.665017667844523,0.21,0.76,0.32,0.43,0.61,"[[ 828  120]
 [1495  387]]"
legit+dces+ices,zeroshot,0.5,toxic,No,2323,0.8208480565371025,948,0.334982332155477,0.87,0.36,0.51,0.43,0.61,"[[ 828  120]
 [1495  387]]"
legit+dces+ices,zeroshot,0.75,hateful,Yes,553,0.19540636042402826,1839,0.6498233215547703,0.28,0.93,0.43,0.52,0.74,"[[ 953   38]
 [1324  515]]"
legit+dces+ices,zeroshot,0.75,hateful,No,2277,0.8045936395759717,991,0.3501766784452297,0.96,0.42,0.58,0.52,0.74,"[[ 953   38]
 [1324  515]]"
legit+dces+ices,zeroshot,0.75,offensive,Yes,878,0.3102473498233215,2087,0.7374558303886926,0.39,0.92,0.55,0.52,0.67,"[[ 673   70]
 [1279  808]]"
legit+dces+ices,zeroshot,0.75,offensive,No,1952,0.6897526501766784,743,0.26254416961130744,0.91,0.34,0.5,0.52,0.67,"[[ 673   70]
 [1279  808]]"
legit+dces+ices,zeroshot,0.75,toxic,Yes,507,0.17915194346289753,1925,0.6802120141342756,0.2,0.77,0.32,0.42,0.61,"[[ 789  116]
 [1534  391]]"
legit+dces+ices,zeroshot,0.75,toxic,No,2323,0.8208480565371025,905,0.3197879858657244,0.87,0.34,0.49,0.42,0.61,"[[ 789  116]
 [1534  391]]"
legit+dces+ices,zeroshot,1.0,hateful,Yes,553,0.19540636042402826,1785,0.6307420494699647,0.28,0.9,0.43,0.53,0.72,"[[ 989   56]
 [1288  497]]"
legit+dces+ices,zeroshot,1.0,hateful,No,2277,0.8045936395759717,1045,0.36925795053003535,0.95,0.43,0.6,0.53,0.72,"[[ 989   56]
 [1288  497]]"
legit+dces+ices,zeroshot,1.0,offensive,Yes,878,0.3102473498233215,2166,0.7653710247349823,0.37,0.9,0.52,0.48,0.63,"[[ 577   87]
 [1375  791]]"
legit+dces+ices,zeroshot,1.0,offensive,No,1952,0.6897526501766784,664,0.23462897526501766,0.87,0.3,0.44,0.48,0.63,"[[ 577   87]
 [1375  791]]"
legit+dces+ices,zeroshot,1.0,toxic,Yes,507,0.17915194346289753,1919,0.6780918727915194,0.19,0.71,0.3,0.4,0.55,"[[ 765  146]
 [1558  361]]"
legit+dces+ices,zeroshot,1.0,toxic,No,2323,0.8208480565371025,911,0.32190812720848055,0.84,0.33,0.47,0.4,0.55,"[[ 765  146]
 [1558  361]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,0.25,hateful,Yes,553,0.19540636042402826,1460,0.5159010600706714,0.34,0.9,0.49,0.64,0.78,"[[1313   57]
 [ 964  496]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,0.25,hateful,No,2277,0.8045936395759717,1370,0.4840989399293286,0.96,0.58,0.72,0.64,0.78,"[[1313   57]
 [ 964  496]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,0.25,offensive,Yes,878,0.3102473498233215,1694,0.5985865724381625,0.44,0.86,0.59,0.62,0.73,"[[1011  125]
 [ 941  753]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,0.25,offensive,No,1952,0.6897526501766784,1136,0.40141342756183745,0.89,0.52,0.65,0.62,0.73,"[[1011  125]
 [ 941  753]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,0.25,toxic,Yes,507,0.17915194346289753,1600,0.5653710247349824,0.23,0.74,0.35,0.52,0.65,"[[1096  134]
 [1227  373]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,0.25,toxic,No,2323,0.8208480565371025,1230,0.43462897526501765,0.89,0.47,0.62,0.52,0.65,"[[1096  134]
 [1227  373]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,0.5,hateful,Yes,553,0.19540636042402826,1546,0.5462897526501767,0.32,0.9,0.47,0.61,0.77,"[[1229   55]
 [1048  498]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,0.5,hateful,No,2277,0.8045936395759717,1284,0.45371024734982335,0.96,0.54,0.69,0.61,0.77,"[[1229   55]
 [1048  498]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,0.5,offensive,Yes,878,0.3102473498233215,1973,0.6971731448763251,0.4,0.9,0.55,0.55,0.7,"[[ 769   88]
 [1183  790]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,0.5,offensive,No,1952,0.6897526501766784,857,0.3028268551236749,0.9,0.39,0.55,0.55,0.7,"[[ 769   88]
 [1183  790]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,0.5,toxic,Yes,507,0.17915194346289753,1874,0.662190812720848,0.21,0.77,0.33,0.43,0.62,"[[ 840  116]
 [1483  391]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,0.5,toxic,No,2323,0.8208480565371025,956,0.33780918727915193,0.88,0.36,0.51,0.43,0.62,"[[ 840  116]
 [1483  391]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,0.75,hateful,Yes,553,0.19540636042402826,1555,0.549469964664311,0.32,0.89,0.46,0.6,0.75,"[[1212   63]
 [1065  490]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,0.75,hateful,No,2277,0.8045936395759717,1275,0.450530035335689,0.95,0.53,0.68,0.6,0.75,"[[1212   63]
 [1065  490]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,0.75,offensive,Yes,878,0.3102473498233215,2207,0.7798586572438162,0.37,0.94,0.54,0.49,0.68,"[[ 571   52]
 [1381  826]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,0.75,offensive,No,1952,0.6897526501766784,623,0.22014134275618374,0.92,0.29,0.44,0.49,0.68,"[[ 571   52]
 [1381  826]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,0.75,toxic,Yes,507,0.17915194346289753,2012,0.7109540636042403,0.2,0.79,0.32,0.39,0.61,"[[ 711  107]
 [1612  400]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,0.75,toxic,No,2323,0.8208480565371025,818,0.2890459363957597,0.87,0.31,0.45,0.39,0.61,"[[ 711  107]
 [1612  400]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,1.0,hateful,Yes,553,0.19540636042402826,1509,0.5332155477031802,0.31,0.85,0.46,0.6,0.73,"[[1239   82]
 [1038  471]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,1.0,hateful,No,2277,0.8045936395759717,1321,0.4667844522968198,0.94,0.54,0.69,0.6,0.73,"[[1239   82]
 [1038  471]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,1.0,offensive,Yes,878,0.3102473498233215,2312,0.8169611307420495,0.36,0.94,0.52,0.46,0.65,"[[ 469   49]
 [1483  829]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,1.0,offensive,No,1952,0.6897526501766784,518,0.18303886925795054,0.91,0.24,0.38,0.46,0.65,"[[ 469   49]
 [1483  829]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,1.0,toxic,Yes,507,0.17915194346289753,2090,0.7385159010600707,0.2,0.81,0.32,0.37,0.61,"[[ 643   97]
 [1680  410]]"
legit+phonee+zeroe-typo,legit+phonee+zeroe-typo,1.0,toxic,No,2323,0.8208480565371025,740,0.26148409893992935,0.87,0.28,0.42,0.37,0.61,"[[ 643   97]
 [1680  410]]"
legit+phonee+zeroe-typo,legit-recovery-replace,0.25,hateful,Yes,553,0.19540636042402826,976,0.3448763250883392,0.41,0.72,0.52,0.74,0.77,"[[1699  155]
 [ 578  398]]"
legit+phonee+zeroe-typo,legit-recovery-replace,0.25,hateful,No,2277,0.8045936395759717,1854,0.6551236749116608,0.92,0.75,0.82,0.74,0.77,"[[1699  155]
 [ 578  398]]"
legit+phonee+zeroe-typo,legit-recovery-replace,0.25,offensive,Yes,878,0.3102473498233215,1056,0.37314487632508836,0.55,0.66,0.6,0.73,0.8,"[[1475  299]
 [ 477  579]]"
legit+phonee+zeroe-typo,legit-recovery-replace,0.25,offensive,No,1952,0.6897526501766784,1774,0.6268551236749117,0.83,0.76,0.79,0.73,0.8,"[[1475  299]
 [ 477  579]]"
legit+phonee+zeroe-typo,legit-recovery-replace,0.25,toxic,Yes,507,0.17915194346289753,1379,0.4872791519434629,0.3,0.82,0.44,0.63,0.73,"[[1361   90]
 [ 962  417]]"
legit+phonee+zeroe-typo,legit-recovery-replace,0.25,toxic,No,2323,0.8208480565371025,1451,0.5127208480565371,0.94,0.59,0.72,0.63,0.73,"[[1361   90]
 [ 962  417]]"
legit+phonee+zeroe-typo,legit-recovery-replace,0.5,hateful,Yes,553,0.19540636042402826,1033,0.36501766784452294,0.39,0.72,0.5,0.72,0.75,"[[1642  155]
 [ 635  398]]"
legit+phonee+zeroe-typo,legit-recovery-replace,0.5,hateful,No,2277,0.8045936395759717,1797,0.6349823321554771,0.91,0.72,0.81,0.72,0.75,"[[1642  155]
 [ 635  398]]"
legit+phonee+zeroe-typo,legit-recovery-replace,0.5,offensive,Yes,878,0.3102473498233215,1322,0.46713780918727915,0.49,0.74,0.59,0.68,0.77,"[[1279  229]
 [ 673  649]]"
legit+phonee+zeroe-typo,legit-recovery-replace,0.5,offensive,No,1952,0.6897526501766784,1508,0.5328621908127208,0.85,0.66,0.74,0.68,0.77,"[[1279  229]
 [ 673  649]]"
legit+phonee+zeroe-typo,legit-recovery-replace,0.5,toxic,Yes,507,0.17915194346289753,1639,0.5791519434628976,0.27,0.88,0.42,0.56,0.7,"[[1130   61]
 [1193  446]]"
legit+phonee+zeroe-typo,legit-recovery-replace,0.5,toxic,No,2323,0.8208480565371025,1191,0.4208480565371025,0.95,0.49,0.64,0.56,0.7,"[[1130   61]
 [1193  446]]"
legit+phonee+zeroe-typo,legit-recovery-replace,0.75,hateful,Yes,553,0.19540636042402826,1010,0.3568904593639576,0.4,0.73,0.51,0.73,0.75,"[[1668  152]
 [ 609  401]]"
legit+phonee+zeroe-typo,legit-recovery-replace,0.75,hateful,No,2277,0.8045936395759717,1820,0.6431095406360424,0.92,0.73,0.81,0.73,0.75,"[[1668  152]
 [ 609  401]]"
legit+phonee+zeroe-typo,legit-recovery-replace,0.75,offensive,Yes,878,0.3102473498233215,1513,0.5346289752650176,0.46,0.8,0.59,0.65,0.76,"[[1142  175]
 [ 810  703]]"
legit+phonee+zeroe-typo,legit-recovery-replace,0.75,offensive,No,1952,0.6897526501766784,1317,0.4653710247349823,0.87,0.59,0.7,0.65,0.76,"[[1142  175]
 [ 810  703]]"
legit+phonee+zeroe-typo,legit-recovery-replace,0.75,toxic,Yes,507,0.17915194346289753,1777,0.6279151943462897,0.25,0.89,0.39,0.51,0.68,"[[ 995   58]
 [1328  449]]"
legit+phonee+zeroe-typo,legit-recovery-replace,0.75,toxic,No,2323,0.8208480565371025,1053,0.37208480565371027,0.94,0.43,0.59,0.51,0.68,"[[ 995   58]
 [1328  449]]"
legit+phonee+zeroe-typo,legit-recovery-replace,1.0,hateful,Yes,553,0.1954754330151997,1006,0.3556026864616472,0.39,0.72,0.51,0.73,0.74,"[[1667  156]
 [ 609  397]]"
legit+phonee+zeroe-typo,legit-recovery-replace,1.0,hateful,No,2276,0.8045245669848002,1823,0.6443973135383527,0.91,0.73,0.81,0.73,0.74,"[[1667  156]
 [ 609  397]]"
legit+phonee+zeroe-typo,legit-recovery-replace,1.0,offensive,Yes,877,0.3100035348179569,1593,0.5630965005302226,0.45,0.81,0.58,0.63,0.75,"[[1070  166]
 [ 882  711]]"
legit+phonee+zeroe-typo,legit-recovery-replace,1.0,offensive,No,1952,0.6899964651820432,1236,0.4369034994697773,0.87,0.55,0.67,0.63,0.75,"[[1070  166]
 [ 882  711]]"
legit+phonee+zeroe-typo,legit-recovery-replace,1.0,toxic,Yes,507,0.1792152704135737,1813,0.6408624955814776,0.25,0.89,0.39,0.5,0.67,"[[ 960   56]
 [1362  451]]"
legit+phonee+zeroe-typo,legit-recovery-replace,1.0,toxic,No,2322,0.8207847295864263,1016,0.35913750441852244,0.94,0.41,0.58,0.5,0.67,"[[ 960   56]
 [1362  451]]"
legit+phonee+zeroe-typo+zeroshot,0,750.0,hateful,Yes,0,0.0,0,0.0,0.0,0.0,0.0,1.0,,[[1]]
legit+phonee+zeroe-typo+zeroshot,0,750.0,hateful,No,1,1.0,1,1.0,1.0,1.0,1.0,1.0,,[[1]]
legit+phonee+zeroe-typo+zeroshot,0,750.0,offensive,Yes,0,0.0,1,1.0,0.0,0.0,0.0,0.0,,"[[0 0]
 [1 0]]"
legit+phonee+zeroe-typo+zeroshot,0,750.0,offensive,No,1,1.0,0,0.0,0.0,0.0,0.0,0.0,,"[[0 0]
 [1 0]]"
legit+phonee+zeroe-typo+zeroshot,0,750.0,toxic,Yes,0,0.0,1,1.0,0.0,0.0,0.0,0.0,,"[[0 0]
 [1 0]]"
legit+phonee+zeroe-typo+zeroshot,0,750.0,toxic,No,1,1.0,0,0.0,0.0,0.0,0.0,0.0,,"[[0 0]
 [1 0]]"
replicate,zeroshot,0.0,hateful,Yes,553,0.19540636042402826,621,0.21943462897526503,0.45,0.5,0.47,0.78,0.71,"[[1933  276]
 [ 344  277]]"
replicate,zeroshot,0.0,hateful,No,2277,0.8045936395759717,2209,0.780565371024735,0.88,0.85,0.86,0.78,0.71,"[[1933  276]
 [ 344  277]]"
replicate,zeroshot,0.0,offensive,Yes,878,0.3102473498233215,998,0.3526501766784452,0.58,0.66,0.62,0.75,0.81,"[[1534  298]
 [ 418  580]]"
replicate,zeroshot,0.0,offensive,No,1952,0.6897526501766784,1832,0.6473498233215548,0.84,0.79,0.81,0.75,0.81,"[[1534  298]
 [ 418  580]]"
replicate,zeroshot,0.0,toxic,Yes,507,0.17915194346289753,980,0.3462897526501767,0.36,0.69,0.47,0.72,0.76,"[[1693  157]
 [ 630  350]]"
replicate,zeroshot,0.0,toxic,No,2323,0.8208480565371025,1850,0.6537102473498233,0.92,0.73,0.81,0.72,0.76,"[[1693  157]
 [ 630  350]]"
