model,size,test,ratio,Bootstrap,Category,Class,Support,Support %,Prediction,Prediction %,Mean Score,Med Score,∆ Score,Precision,Recall,F1-Score,Accuracy,AUC,Confusion
llama2,13B,phonetic,0.25,4,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,4,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,4,toxic,Yes,507,0.17915194346289753,688,0.2431095406360424,0.47660777385159014,0.4,0.11826855123674913,0.46,0.63,0.53,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,4,toxic,No,2323,0.8208480565371025,2142,0.7568904593639576,0.47660777385159014,0.4,0.11826855123674913,0.91,0.84,0.87,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,5,hateful,Yes,553,0.19540636042402826,398,0.14063604240282684,0.3505300353356891,0.2,0.08731448763250882,0.44,0.31,0.37,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,5,hateful,No,2277,0.8045936395759717,2432,0.8593639575971731,0.3505300353356891,0.2,0.08731448763250882,0.84,0.9,0.87,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,5,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,5,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,5,toxic,Yes,507,0.17915194346289753,688,0.2431095406360424,0.47660777385159014,0.4,0.11826855123674913,0.46,0.63,0.53,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,5,toxic,No,2323,0.8208480565371025,2142,0.7568904593639576,0.47660777385159014,0.4,0.11826855123674913,0.91,0.84,0.87,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,6,hateful,Yes,553,0.19540636042402826,398,0.14063604240282684,0.3505300353356891,0.2,0.08731448763250882,0.44,0.31,0.37,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,6,hateful,No,2277,0.8045936395759717,2432,0.8593639575971731,0.3505300353356891,0.2,0.08731448763250882,0.84,0.9,0.87,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,6,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,6,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,6,toxic,Yes,507,0.17915194346289753,688,0.2431095406360424,0.47660777385159014,0.4,0.11826855123674913,0.46,0.63,0.53,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,6,toxic,No,2323,0.8208480565371025,2142,0.7568904593639576,0.47660777385159014,0.4,0.11826855123674913,0.91,0.84,0.87,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,7,hateful,Yes,553,0.19540636042402826,398,0.14063604240282684,0.3505300353356891,0.2,0.08731448763250882,0.44,0.31,0.37,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,7,hateful,No,2277,0.8045936395759717,2432,0.8593639575971731,0.3505300353356891,0.2,0.08731448763250882,0.84,0.9,0.87,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,7,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,7,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,7,toxic,Yes,507,0.17915194346289753,688,0.2431095406360424,0.47660777385159014,0.4,0.11826855123674913,0.46,0.63,0.53,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,7,toxic,No,2323,0.8208480565371025,2142,0.7568904593639576,0.47660777385159014,0.4,0.11826855123674913,0.91,0.84,0.87,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,8,hateful,Yes,553,0.19540636042402826,398,0.14063604240282684,0.3505300353356891,0.2,0.08731448763250882,0.44,0.31,0.37,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,8,hateful,No,2277,0.8045936395759717,2432,0.8593639575971731,0.3505300353356891,0.2,0.08731448763250882,0.84,0.9,0.87,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,8,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,8,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,8,toxic,Yes,507,0.17915194346289753,688,0.2431095406360424,0.47660777385159014,0.4,0.11826855123674913,0.46,0.63,0.53,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,8,toxic,No,2323,0.8208480565371025,2142,0.7568904593639576,0.47660777385159014,0.4,0.11826855123674913,0.91,0.84,0.87,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,9,hateful,Yes,553,0.19540636042402826,398,0.14063604240282684,0.3505300353356891,0.2,0.08731448763250882,0.44,0.31,0.37,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,9,hateful,No,2277,0.8045936395759717,2432,0.8593639575971731,0.3505300353356891,0.2,0.08731448763250882,0.84,0.9,0.87,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,9,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,9,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,9,toxic,Yes,507,0.17915194346289753,688,0.2431095406360424,0.47660777385159014,0.4,0.11826855123674913,0.46,0.63,0.53,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,9,toxic,No,2323,0.8208480565371025,2142,0.7568904593639576,0.47660777385159014,0.4,0.11826855123674913,0.91,0.84,0.87,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,10,hateful,Yes,553,0.19540636042402826,398,0.14063604240282684,0.3505300353356891,0.2,0.08731448763250882,0.44,0.31,0.37,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,10,hateful,No,2277,0.8045936395759717,2432,0.8593639575971731,0.3505300353356891,0.2,0.08731448763250882,0.84,0.9,0.87,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,10,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,10,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,10,toxic,Yes,507,0.17915194346289753,688,0.2431095406360424,0.47660777385159014,0.4,0.11826855123674913,0.46,0.63,0.53,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,10,toxic,No,2323,0.8208480565371025,2142,0.7568904593639576,0.47660777385159014,0.4,0.11826855123674913,0.91,0.84,0.87,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,11,hateful,Yes,553,0.19540636042402826,398,0.14063604240282684,0.3505300353356891,0.2,0.08731448763250882,0.44,0.31,0.37,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,11,hateful,No,2277,0.8045936395759717,2432,0.8593639575971731,0.3505300353356891,0.2,0.08731448763250882,0.84,0.9,0.87,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,11,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,11,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,11,toxic,Yes,507,0.17915194346289753,688,0.2431095406360424,0.47660777385159014,0.4,0.11826855123674913,0.46,0.63,0.53,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,11,toxic,No,2323,0.8208480565371025,2142,0.7568904593639576,0.47660777385159014,0.4,0.11826855123674913,0.91,0.84,0.87,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,12,hateful,Yes,553,0.19540636042402826,398,0.14063604240282684,0.3505300353356891,0.2,0.08731448763250882,0.44,0.31,0.37,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,12,hateful,No,2277,0.8045936395759717,2432,0.8593639575971731,0.3505300353356891,0.2,0.08731448763250882,0.84,0.9,0.87,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,12,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,12,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,12,toxic,Yes,507,0.17915194346289753,688,0.2431095406360424,0.47660777385159014,0.4,0.11826855123674913,0.46,0.63,0.53,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,12,toxic,No,2323,0.8208480565371025,2142,0.7568904593639576,0.47660777385159014,0.4,0.11826855123674913,0.91,0.84,0.87,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,13,hateful,Yes,553,0.19540636042402826,398,0.14063604240282684,0.3505300353356891,0.2,0.08731448763250882,0.44,0.31,0.37,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,13,hateful,No,2277,0.8045936395759717,2432,0.8593639575971731,0.3505300353356891,0.2,0.08731448763250882,0.84,0.9,0.87,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,13,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,13,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,13,toxic,Yes,507,0.17915194346289753,688,0.2431095406360424,0.47660777385159014,0.4,0.11826855123674913,0.46,0.63,0.53,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,13,toxic,No,2323,0.8208480565371025,2142,0.7568904593639576,0.47660777385159014,0.4,0.11826855123674913,0.91,0.84,0.87,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,14,hateful,Yes,553,0.19540636042402826,398,0.14063604240282684,0.3505300353356891,0.2,0.08731448763250882,0.44,0.31,0.37,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,14,hateful,No,2277,0.8045936395759717,2432,0.8593639575971731,0.3505300353356891,0.2,0.08731448763250882,0.84,0.9,0.87,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,14,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,14,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,14,toxic,Yes,507,0.17915194346289753,688,0.2431095406360424,0.47660777385159014,0.4,0.11826855123674913,0.46,0.63,0.53,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,14,toxic,No,2323,0.8208480565371025,2142,0.7568904593639576,0.47660777385159014,0.4,0.11826855123674913,0.91,0.84,0.87,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,15,hateful,Yes,553,0.19540636042402826,398,0.14063604240282684,0.3505300353356891,0.2,0.08731448763250882,0.44,0.31,0.37,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,15,hateful,No,2277,0.8045936395759717,2432,0.8593639575971731,0.3505300353356891,0.2,0.08731448763250882,0.84,0.9,0.87,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,15,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,15,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,15,toxic,Yes,507,0.17915194346289753,688,0.2431095406360424,0.47660777385159014,0.4,0.11826855123674913,0.46,0.63,0.53,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,15,toxic,No,2323,0.8208480565371025,2142,0.7568904593639576,0.47660777385159014,0.4,0.11826855123674913,0.91,0.84,0.87,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,16,hateful,Yes,553,0.19540636042402826,398,0.14063604240282684,0.3505300353356891,0.2,0.08731448763250882,0.44,0.31,0.37,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,16,hateful,No,2277,0.8045936395759717,2432,0.8593639575971731,0.3505300353356891,0.2,0.08731448763250882,0.84,0.9,0.87,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,16,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,16,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,16,toxic,Yes,507,0.17915194346289753,688,0.2431095406360424,0.47660777385159014,0.4,0.11826855123674913,0.46,0.63,0.53,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,16,toxic,No,2323,0.8208480565371025,2142,0.7568904593639576,0.47660777385159014,0.4,0.11826855123674913,0.91,0.84,0.87,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,17,hateful,Yes,553,0.19540636042402826,398,0.14063604240282684,0.3505300353356891,0.2,0.08731448763250882,0.44,0.31,0.37,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,17,hateful,No,2277,0.8045936395759717,2432,0.8593639575971731,0.3505300353356891,0.2,0.08731448763250882,0.84,0.9,0.87,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,17,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,17,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,17,toxic,Yes,507,0.17915194346289753,688,0.2431095406360424,0.47660777385159014,0.4,0.11826855123674913,0.46,0.63,0.53,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,17,toxic,No,2323,0.8208480565371025,2142,0.7568904593639576,0.47660777385159014,0.4,0.11826855123674913,0.91,0.84,0.87,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,18,hateful,Yes,553,0.19540636042402826,398,0.14063604240282684,0.3505300353356891,0.2,0.08731448763250882,0.44,0.31,0.37,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,18,hateful,No,2277,0.8045936395759717,2432,0.8593639575971731,0.3505300353356891,0.2,0.08731448763250882,0.84,0.9,0.87,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,18,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,18,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,18,toxic,Yes,507,0.17915194346289753,688,0.2431095406360424,0.47660777385159014,0.4,0.11826855123674913,0.46,0.63,0.53,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,18,toxic,No,2323,0.8208480565371025,2142,0.7568904593639576,0.47660777385159014,0.4,0.11826855123674913,0.91,0.84,0.87,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,19,hateful,Yes,553,0.19540636042402826,398,0.14063604240282684,0.3505300353356891,0.2,0.08731448763250882,0.44,0.31,0.37,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,19,hateful,No,2277,0.8045936395759717,2432,0.8593639575971731,0.3505300353356891,0.2,0.08731448763250882,0.84,0.9,0.87,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,19,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,19,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,19,toxic,Yes,507,0.17915194346289753,688,0.2431095406360424,0.47660777385159014,0.4,0.11826855123674913,0.46,0.63,0.53,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,19,toxic,No,2323,0.8208480565371025,2142,0.7568904593639576,0.47660777385159014,0.4,0.11826855123674913,0.91,0.84,0.87,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,20,hateful,Yes,553,0.19540636042402826,398,0.14063604240282684,0.3505300353356891,0.2,0.08731448763250882,0.44,0.31,0.37,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,20,hateful,No,2277,0.8045936395759717,2432,0.8593639575971731,0.3505300353356891,0.2,0.08731448763250882,0.84,0.9,0.87,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,20,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,20,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,20,toxic,Yes,507,0.17915194346289753,688,0.2431095406360424,0.47660777385159014,0.4,0.11826855123674913,0.46,0.63,0.53,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,20,toxic,No,2323,0.8208480565371025,2142,0.7568904593639576,0.47660777385159014,0.4,0.11826855123674913,0.91,0.84,0.87,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,21,hateful,Yes,553,0.19540636042402826,398,0.14063604240282684,0.3505300353356891,0.2,0.08731448763250882,0.44,0.31,0.37,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,21,hateful,No,2277,0.8045936395759717,2432,0.8593639575971731,0.3505300353356891,0.2,0.08731448763250882,0.84,0.9,0.87,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,21,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,21,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,21,toxic,Yes,507,0.17915194346289753,688,0.2431095406360424,0.47660777385159014,0.4,0.11826855123674913,0.46,0.63,0.53,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,21,toxic,No,2323,0.8208480565371025,2142,0.7568904593639576,0.47660777385159014,0.4,0.11826855123674913,0.91,0.84,0.87,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,22,hateful,Yes,553,0.19540636042402826,398,0.14063604240282684,0.3505300353356891,0.2,0.08731448763250882,0.44,0.31,0.37,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,22,hateful,No,2277,0.8045936395759717,2432,0.8593639575971731,0.3505300353356891,0.2,0.08731448763250882,0.84,0.9,0.87,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,22,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,22,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,22,toxic,Yes,507,0.17915194346289753,688,0.2431095406360424,0.47660777385159014,0.4,0.11826855123674913,0.46,0.63,0.53,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,22,toxic,No,2323,0.8208480565371025,2142,0.7568904593639576,0.47660777385159014,0.4,0.11826855123674913,0.91,0.84,0.87,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,23,hateful,Yes,553,0.19540636042402826,398,0.14063604240282684,0.3505300353356891,0.2,0.08731448763250882,0.44,0.31,0.37,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,23,hateful,No,2277,0.8045936395759717,2432,0.8593639575971731,0.3505300353356891,0.2,0.08731448763250882,0.84,0.9,0.87,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,23,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,23,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,23,toxic,Yes,507,0.17915194346289753,688,0.2431095406360424,0.47660777385159014,0.4,0.11826855123674913,0.46,0.63,0.53,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,23,toxic,No,2323,0.8208480565371025,2142,0.7568904593639576,0.47660777385159014,0.4,0.11826855123674913,0.91,0.84,0.87,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,24,hateful,Yes,553,0.19540636042402826,398,0.14063604240282684,0.3505300353356891,0.2,0.08731448763250882,0.44,0.31,0.37,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,24,hateful,No,2277,0.8045936395759717,2432,0.8593639575971731,0.3505300353356891,0.2,0.08731448763250882,0.84,0.9,0.87,0.79,0.71,"[[2053  379]
 [ 224  174]]"
llama2,13B,phonetic,0.25,24,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,24,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,24,toxic,Yes,507,0.17915194346289753,688,0.2431095406360424,0.47660777385159014,0.4,0.11826855123674913,0.46,0.63,0.53,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.25,24,toxic,No,2323,0.8208480565371025,2142,0.7568904593639576,0.47660777385159014,0.4,0.11826855123674913,0.91,0.84,0.87,0.8,0.8,"[[1953  189]
 [ 370  318]]"
llama2,13B,phonetic,0.5,0,hateful,Yes,553,0.19540636042402826,549,0.19399293286219083,0.3814487632508834,0.2,0.11809187279151943,0.4,0.39,0.39,0.76,0.71,"[[1945  336]
 [ 332  217]]"
llama2,13B,phonetic,0.5,0,hateful,No,2277,0.8045936395759717,2281,0.8060070671378092,0.3814487632508834,0.2,0.11809187279151943,0.85,0.85,0.85,0.76,0.71,"[[1945  336]
 [ 332  217]]"
